Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
20010119.1.7,Summary,2001-01-19,09:22:00,3,Alabama,-,-,0,0,4,100,2.3,Montgomery,-,-,-,-,-,-,-,-,-,-,-,$0.45,,32.38,-86.27,32.4,-86.23,1,,3,Unmodified
20010119.13.5,Summary,2001-01-19,11:24:00,3,Georgia,-,-,0,0,8,100,0.1,Clayton,-,-,-,-,-,-,-,-,-,-,-,$2.5,,33.62,-84.37,33.62,-84.37,1,,589,Unmodified
20010119.13.6,Summary,2001-01-19,11:30:00,3,Georgia,-,-,0,0,0,20,-,Taylor,-,-,-,-,-,-,-,-,-,-,-,-,,32.52,-84.18,32.52,-84.18,1,,588,Unmodified
20010119.13.8,Summary,2001-01-19,12:40:00,3,Georgia,-,-,1,0,0,50,1,Hart,-,-,-,-,-,-,-,-,-,-,-,$0.05,,34.23,-83.08,34.23,-83.08,1,,2,Unmodified
20010129.22.19,Summary,2001-01-29,11:55:00,3,Louisiana,-,-,0,0,0,25,0.2,Tangipahoa,-,-,-,-,-,-,-,-,-,-,-,$0.02,,30.72,-90.5,30.72,-90.5,1,,1,Unmodified
20010216.28.44,Summary,2001-02-16,12:10:00,3,Mississippi,-,-,2,1,1,500,4,Holmes,-,-,-,-,-,-,-,-,-,-,-,$0.05,,33.02,-89.97,33.02,-89.87,1,,593,Unmodified
20010216.1.37,Summary,2001-02-16,13:39:00,3,Alabama,-,-,0,0,0,30,4.4,Madison,-,-,-,-,-,-,-,-,-,-,-,$0.04,,34.78,-86.77,34.8,-86.68,1,,23,Unmodified
20010216.28.55,Summary,2001-02-16,15:35:00,3,Mississippi,-,-,0,0,0,150,3,Marion,Lamar,Jefferson Davis,-,-,-,-,-,-,-,-,-,$0.02,,31.4,-89.67,31.45,-89.63,1,,597,Unmodified
20010216.28.59,Summary,2001-02-16,16:10:00,3,Mississippi,-,-,0,0,0,150,0.5,Jones,-,-,-,-,-,-,-,-,-,-,-,$0.001,,31.6,-89.33,31.6,-89.33,1,,594,Unmodified
20010216.13.13,Summary,2001-02-16,18:50:00,3,Georgia,-,-,0,0,0,440,3,Elbert,-,-,-,-,-,-,-,-,-,-,-,$0.02,,34.23,-83.03,34.27,-83.03,1,,21,Unmodified
