Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19770103.6.1,Summary,1977-01-03,00:15:00,3,California,-,-,1,0,0,10,0.1,Santa Barbara,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.43,-119.82,-,-,1,,1,Unmodified
19770106.12.1,Summary,1977-01-06,20:30:00,3,Florida,-,-,0,0,0,10,0.1,Okaloosa,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,30.53,-86.5,-,-,1,,2,Unmodified
19770109.28.1,Summary,1977-01-09,08:20:00,3,Mississippi,-,-,1,0,0,10,0.1,Madison,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,32.65,-90.03,-,-,1,,3,Unmodified
19770109.28.2,Summary,1977-01-09,11:00:00,3,Mississippi,-,-,2,0,0,200,1,Smith,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,31.92,-89.67,-,-,1,,4,Unmodified
19770110.12.2,Summary,1977-01-10,05:50:00,3,Florida,-,-,1,0,0,23,0.2,Osceola,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,28.3,-81.4,-,-,1,,5,Unmodified
19770223.40.1,Summary,1977-02-23,04:20:00,3,Oklahoma,-,-,2,0,4,77,3.3,McCurtain,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33.88,-94.65,33.9,-94.6,1,,6,Unmodified
19770223.5.1,Summary,1977-02-23,04:25:00,3,Arkansas,-,-,1,0,1,150,2,Logan,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.12,-93.93,-,-,1,,7,Unmodified
19770223.29.1,Summary,1977-02-23,08:26:00,3,Missouri,-,-,1,0,0,100,2,St. Louis,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,38.6,-90.43,-,-,1,,8,Unmodified
19770223.19.1,Summary,1977-02-23,14:10:00,3,Iowa,-,-,1,0,1,13,0.1,Cerro Gordo,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,43.15,-93.2,-,-,1,,9,Unmodified
19770223.28.3,Summary,1977-02-23,14:15:00,3,Mississippi,-,-,1,0,0,200,0.5,Hinds,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.18,-90.27,-,-,1,,10,Unmodified
19770223.28.4,Summary,1977-02-23,15:15:00,3,Mississippi,-,-,3,0,0,100,10.5,Attala,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33.13,-89.45,33.25,-89.33,1,,11,Unmodified
19770223.28.5,Summary,1977-02-23,15:20:00,3,Mississippi,-,-,3,0,1,177,11.4,Leake,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,32.85,-89.48,32.93,-89.32,1,,12,Unmodified
19770223.28.6,Summary,1977-02-23,16:00:00,3,Mississippi,-,-,4,2,5,350,15,Winston,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33.02,-89.23,33.18,-89.07,1,,13,Unmodified
19770223.28.7,Summary,1977-02-23,16:10:00,3,Mississippi,-,-,2,0,0,50,13.9,Greene,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,31.15,-88.7,31.17,-88.47,1,,14,Unmodified
19770223.1.1,Summary,1977-02-23,19:00:00,3,Alabama,-,-,2,0,1,30,0.2,Greene,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,32.83,-87.88,-,-,1,,15,Unmodified
19770223.12.3,Summary,1977-02-23,23:45:00,3,Florida,-,-,1,0,0,10,0.3,Okaloosa,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,30.38,-86.52,-,-,1,,16,Unmodified
