Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19780104.6.1,Summary,1978-01-04,17:15:00,3,California,-,-,0,0,0,10,0.1,Los Angeles,-,-,-,-,-,-,-,-,-,-,-,<$50,,34.12,-117.82,-,-,1,,1,Unmodified
19780107.5.1,Summary,1978-01-07,15:32:00,3,Arkansas,-,-,3,1,9,150,39.6,Woodruff,St. Francis,Cross,-,-,-,-,-,-,-,-,-,$500K-$5M,,35.03,-91.22,35.27,-90.58,1,,2,Unmodified
19780107.5.2,Summary,1978-01-07,17:10:00,3,Arkansas,-,-,1,0,0,50,35,Grant,Jefferson,Pulaski,Lonoke,-,-,-,-,-,-,-,-,$500-$5000,,34.32,-92.5,34.6,-92.02,1,,3,Unmodified
19780107.22.1,Summary,1978-01-07,17:20:00,3,Louisiana,-,-,1,0,0,77,0.1,Caddo,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,32.42,-93.8,-,-,1,,4,Unmodified
19780107.5.3,Summary,1978-01-07,18:00:00,3,Arkansas,-,-,0,0,0,27,3,Jefferson,-,-,-,-,-,-,-,-,-,-,-,-,,34.45,-92.18,34.47,-92.15,1,,5,Unmodified
19780107.47.1,Summary,1978-01-07,18:40:00,3,Tennessee,-,-,1,0,0,100,1,Hardin,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.23,-88.25,-,-,1,,6,Unmodified
19780107.5.4,Summary,1978-01-07,19:05:00,3,Arkansas,-,-,1,0,0,100,2,Ouachita,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33.6,-92.83,-,-,1,,7,Unmodified
19780107.5.5,Summary,1978-01-07,19:05:00,3,Arkansas,-,-,0,0,0,50,1,Ouachita,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.58,-92.85,-,-,1,,8,Unmodified
19780107.47.2,Summary,1978-01-07,19:30:00,3,Tennessee,-,-,1,0,0,100,3,Tipton,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.47,-89.73,35.5,-89.7,1,,9,Unmodified
19780108.12.1,Summary,1978-01-08,16:20:00,3,Florida,-,-,2,0,2,100,10,Hillsborough,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,27.92,-82.3,28,-82.17,1,,10,Unmodified
19780108.37.1,Summary,1978-01-08,16:30:00,3,North Carolina,-,-,1,0,0,20,0.5,Rowan,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.67,-80.47,-,-,1,,11,Unmodified
19780108.12.2,Summary,1978-01-08,17:18:00,3,Florida,-,-,2,0,0,100,2,Orange,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,28.5,-81.53,-,-,1,,12,Unmodified
19780108.12.3,Summary,1978-01-08,17:35:00,3,Florida,-,-,2,0,23,200,19.3,Orange,Seminole,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,28.62,-81.43,28.75,-81.17,1,,13,Unmodified
19780113.12.4,Summary,1978-01-13,12:39:00,3,Florida,-,-,0,0,0,20,2,Brevard,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,28.08,-80.6,-,-,1,,14,Unmodified
19780119.12.5,Summary,1978-01-19,08:32:00,3,Florida,-,-,0,0,0,20,0.5,Clay,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,30.07,-81.87,-,-,1,,15,Unmodified
19780119.12.6,Summary,1978-01-19,12:50:00,3,Florida,-,-,0,0,0,50,1,Hillsborough,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,28.05,-82.53,-,-,1,,16,Unmodified
19780119.12.7,Summary,1978-01-19,13:30:00,3,Florida,-,-,1,0,0,20,0.5,Seminole,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,28.58,-81.33,-,-,1,,17,Unmodified
19780119.12.8,Summary,1978-01-19,14:50:00,3,Florida,-,-,0,0,0,50,3.6,Martin,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,27.07,-80.12,27.08,-80.07,1,,18,Unmodified
19780119.12.9,Summary,1978-01-19,15:45:00,3,Florida,-,-,1,0,0,50,1,Sarasota,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,27.12,-82.45,-,-,1,,19,Unmodified
19780119.12.10,Summary,1978-01-19,16:03:00,3,Florida,-,-,0,0,0,10,0.3,Charlotte,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,26.95,-82.07,-,-,1,,20,Unmodified
19780125.12.11,Summary,1978-01-25,20:30:00,3,Florida,-,-,0,0,2,20,0.5,Lake,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,28.97,-81.63,-,-,1,,21,Unmodified
19780126.51.1,Summary,1978-01-26,00:01:00,3,Virginia,-,-,1,0,0,17,0.1,Mecklenburg,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.8,-78.33,-,-,1,,22,Unmodified
19780126.51.2,Summary,1978-01-26,01:10:00,3,Virginia,-,-,3,1,10,250,0.7,Prince William,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,38.5,-77.3,-,-,1,,23,Unmodified
