Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19850117.12.1,Summary,1985-01-17,05:15:00,3,Florida,-,-,0,0,0,10,1,Bay,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,30.18,-85.8,-,-,1,,1,Unmodified
19850131.1.1,Summary,1985-01-31,16:52:00,3,Alabama,-,-,0,0,0,50,0.5,Autauga,-,-,-,-,-,-,-,-,-,-,-,<$50,,32.43,-86.53,-,-,1,,2,Unmodified
19850204.6.1,Summary,1985-02-04,10:40:00,3,California,-,-,0,0,0,17,0.1,San Diego,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,32.8,-117.1,-,-,1,,3,Unmodified
19850211.1.2,Summary,1985-02-11,04:50:00,3,Alabama,-,-,1,0,0,60,2,Baldwin,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,30.6,-87.77,-,-,1,,4,Unmodified
19850211.12.2,Summary,1985-02-11,05:20:00,3,Florida,-,-,1,0,0,10,0.6,Escambia,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,30.58,-87.3,-,-,1,,5,Unmodified
19850222.40.1,Summary,1985-02-22,02:15:00,3,Oklahoma,-,-,1,0,0,10,0.1,Rogers,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,36.45,-95.7,-,-,1,,6,Unmodified
19850223.40.2,Summary,1985-02-23,01:00:00,3,Oklahoma,-,-,2,0,3,500,10,Atoka,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.22,-96.08,34.33,-95.93,1,,7,Unmodified
19850223.28.1,Summary,1985-02-23,16:05:00,3,Mississippi,-,-,1,0,0,50,0.1,Tunica,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.78,-90.38,-,-,1,,8,Unmodified
19850223.28.2,Summary,1985-02-23,16:15:00,3,Mississippi,-,-,0,0,0,50,0.1,Tunica,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.68,-90.33,-,-,1,,9,Unmodified
19850303.31.1,Summary,1985-03-03,16:35:00,3,Nebraska,-,-,1,0,0,100,4,Adams,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,40.58,-98.5,40.6,-98.4,1,,10,Unmodified
19850303.31.2,Summary,1985-03-03,17:30:00,3,Nebraska,-,-,1,0,0,50,0.1,Hamilton,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,40.88,-97.88,-,-,1,,11,Unmodified
19850303.31.3,Summary,1985-03-03,18:10:00,3,Nebraska,-,-,1,0,0,50,0.1,York,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,41.03,-97.6,-,-,1,,12,Unmodified
19850303.31.4,Summary,1985-03-03,18:15:00,3,Nebraska,-,-,1,0,0,50,3,York,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,41.02,-97.43,41.05,-97.38,1,,13,Unmodified
19850303.40.3,Summary,1985-03-03,18:20:00,3,Oklahoma,-,-,1,0,12,10,0.1,Logan,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.75,-97.37,-,-,1,,14,Unmodified
19850303.40.4,Summary,1985-03-03,19:00:00,3,Oklahoma,-,-,1,0,0,10,0.1,Payne,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,36.08,-96.77,-,-,1,,15,Unmodified
19850303.20.1,Summary,1985-03-03,21:45:00,3,Kansas,-,-,0,0,0,10,0.1,Labette,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,37.33,-95.27,-,-,1,,16,Unmodified
19850311.6.2,Summary,1985-03-11,12:00:00,3,California,-,-,2,0,0,20,0.5,San Benito,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,36.85,-121.4,-,-,1,,17,Unmodified
19850315.12.3,Summary,1985-03-15,10:08:00,3,Florida,-,-,1,0,2,10,0.3,Pinellas,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,27.92,-82.8,-,-,1,,18,Unmodified
19850315.4.1,Summary,1985-03-15,10:45:00,3,Arizona,-,-,0,0,0,10,2,Pinal,-,-,-,-,-,-,-,-,-,-,-,-,,32.93,-111.58,-,-,1,,19,Unmodified
19850315.4.2,Summary,1985-03-15,10:45:00,3,Arizona,-,-,0,0,0,10,2,Pinal,-,-,-,-,-,-,-,-,-,-,-,-,,32.93,-111.62,-,-,1,,20,Unmodified
19850315.4.3,Summary,1985-03-15,11:05:00,3,Arizona,-,-,1,0,0,30,0.1,Pinal,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.97,-111.52,-,-,1,,21,Unmodified
19850317.12.4,Summary,1985-03-17,03:30:00,3,Florida,-,-,3,2,45,400,3,Sarasota,-,-,-,-,-,-,-,-,-,-,-,$5M-$50M,,27.08,-82.48,27.07,-82.42,1,,22,Unmodified
19850317.12.5,Summary,1985-03-17,04:30:00,3,Florida,-,-,0,0,0,10,0.5,DeSoto,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,27.08,-81.97,-,-,1,,23,Unmodified
19850317.12.6,Summary,1985-03-17,08:49:00,3,Florida,-,-,1,0,0,10,5,Okeechobee,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,27.23,-80.8,27.17,-80.73,1,,24,Unmodified
19850317.12.7,Summary,1985-03-17,21:30:00,3,Florida,-,-,1,0,1,10,0.5,Bay,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,30.25,-85.93,-,-,1,,25,Unmodified
19850322.40.5,Summary,1985-03-22,21:05:00,3,Oklahoma,-,-,0,0,0,10,0.1,Cotton,-,-,-,-,-,-,-,-,-,-,-,-,,34.2,-98.58,-,-,1,,26,Unmodified
19850326.48.1,Summary,1985-03-26,16:45:00,3,Texas,-,-,0,0,0,17,0.1,Floyd,-,-,-,-,-,-,-,-,-,-,-,-,,34.13,-101.32,-,-,1,,27,Unmodified
19850326.20.2,Summary,1985-03-26,19:00:00,3,Kansas,-,-,0,0,0,10,0.1,Phillips,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,39.67,-99.57,-,-,1,,28,Unmodified
19850326.40.6,Summary,1985-03-26,20:47:00,3,Oklahoma,-,-,1,0,0,10,0.1,McClain,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.87,-97.58,-,-,1,,29,Unmodified
19850326.40.7,Summary,1985-03-26,22:12:00,3,Oklahoma,-,-,0,0,0,10,0.1,Pontotoc,-,-,-,-,-,-,-,-,-,-,-,-,,34.77,-96.73,-,-,1,,30,Unmodified
19850327.17.1,Summary,1985-03-27,23:20:00,3,Illinois,-,-,1,0,0,40,3,Schuyler,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,40.13,-90.8,40.13,-90.75,1,,31,Unmodified
