Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
20020102.12.1,Summary,2002-01-02,14:40:00,3,Florida,-,-,1,0,0,50,10,Miami-Dade,-,-,-,-,-,-,-,-,-,-,-,$0.05,,25.47,-80.63,25.47,-80.47,1,,1,Unmodified
20020106.24.1,Summary,2002-01-06,15:02:00,3,Maryland,-,-,0,0,0,100,1,Somerset,-,-,-,-,-,-,-,-,-,-,-,$0.02,,38.15,-75.95,38.17,-75.93,1,,3,Unmodified
20020123.21.1,Summary,2002-01-23,22:27:00,3,Kentucky,-,-,2,0,0,500,1.8,McLean,-,-,-,-,-,-,-,-,-,-,-,<$50,,37.53,-87.27,37.53,-87.27,1,,2,Unmodified
20020207.19.1,Summary,2002-02-07,11:45:00,3,Iowa,-,-,0,0,0,20,0.1,Clinton,-,-,-,-,-,-,-,-,-,-,-,-,,43.87,-116.5,43.87,-116.5,1,,10,Unmodified
20020219.28.1,Summary,2002-02-19,21:30:00,3,Mississippi,-,-,1,0,0,250,0.8,Yazoo,-,-,-,-,-,-,-,-,-,-,-,$0.15,,32.85,-90.42,32.85,-90.42,1,,4,Unmodified
20020315.28.2,Summary,2002-03-15,19:03:00,3,Mississippi,-,-,1,0,0,300,1,Jones,-,-,-,-,-,-,-,-,-,-,-,$3.25,,31.73,-89.17,31.72,-89.15,1,,465,Unmodified
20020316.28.3,Summary,2002-03-16,05:10:00,3,Mississippi,-,-,1,0,0,300,2,Hinds,-,-,-,-,-,-,-,-,-,-,-,$1.4,,32.18,-90.32,32.22,-90.28,1,,466,Unmodified
20020319.48.4,Summary,2002-03-19,13:31:00,3,Texas,-,-,1,0,0,50,3,Tom Green,-,-,-,-,-,-,-,-,-,-,-,$0.002,,31.4,-100.35,31.37,-100.33,1,,470,Unmodified
20020319.48.5,Summary,2002-03-19,14:00:00,3,Texas,-,-,1,0,0,50,4,Tom Green,-,-,-,-,-,-,-,-,-,-,-,$0.01,,31.43,-100.3,31.48,-100.25,1,,471,Unmodified
20020319.48.6,Summary,2002-03-19,14:13:00,3,Texas,-,-,0,0,0,20,0.2,Runnels,-,-,-,-,-,-,-,-,-,-,-,-,,31.68,-99.95,31.68,-99.95,1,,472,Unmodified
