Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19830129.12.1,Summary,1983-01-29,22:15:00,3,Florida,-,-,1,0,0,30,0.7,Bay,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,30.18,-85.8,-,-,1,,1,Unmodified
19830131.48.1,Summary,1983-01-31,09:30:00,3,Texas,-,-,1,0,0,60,5,Wharton,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,29.4,-96.17,29.48,-96.15,1,,2,Unmodified
19830131.48.2,Summary,1983-01-31,10:00:00,3,Texas,-,-,1,0,0,40,5.2,Montgomery,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,30.17,-95.43,-,-,1,,3,Unmodified
19830131.48.3,Summary,1983-01-31,10:15:00,3,Texas,-,-,2,0,4,60,3,Austin,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,29.78,-96.13,29.83,-96.13,1,,4,Unmodified
19830131.48.4,Summary,1983-01-31,13:07:00,3,Texas,-,-,1,0,0,20,1,Brazoria,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,29.02,-95.95,-,-,1,,5,Unmodified
19830131.48.5,Summary,1983-01-31,14:00:00,3,Texas,-,-,3,0,1,40,1,Jefferson,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,30.08,-94.18,-,-,1,,6,Unmodified
19830131.22.1,Summary,1983-01-31,17:41:00,3,Louisiana,-,-,1,0,0,20,1,Cameron,-,-,-,-,-,-,-,-,-,-,-,<$50,,29.77,-93.6,-,-,1,,7,Unmodified
19830131.22.2,Summary,1983-01-31,18:00:00,3,Louisiana,-,-,2,0,0,50,3,East Feliciana,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,30.72,-92.37,30.75,-92.33,1,,8,Unmodified
19830131.22.3,Summary,1983-01-31,19:30:00,3,Louisiana,-,-,1,0,0,50,1,Calcasieu,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,30.23,-93.23,-,-,1,,9,Unmodified
19830131.22.4,Summary,1983-01-31,21:00:00,3,Louisiana,-,-,3,1,0,100,6,Vermilion,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,30.02,-92.27,30.08,-92.22,1,,10,Unmodified
19830131.22.5,Summary,1983-01-31,21:30:00,3,Louisiana,-,-,3,1,2,100,5,Avoyelles,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,30.93,-92.17,30.98,-92.12,1,,11,Unmodified
19830131.22.6,Summary,1983-01-31,22:15:00,3,Louisiana,-,-,2,0,0,100,7,St. Landry,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,30.47,-91.93,30.57,-91.9,1,,12,Unmodified
19830131.22.7,Summary,1983-01-31,23:30:00,3,Louisiana,-,-,2,0,0,33,0.5,West Baton Rouge,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,30.38,-91.23,-,-,1,,13,Unmodified
19830201.28.1,Summary,1983-02-01,05:00:00,3,Mississippi,-,-,1,0,3,77,0.3,Jackson,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,30.63,-88.43,-,-,1,,14,Unmodified
