Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19710103.5.1,Summary,1971-01-03,15:30:00,3,Arkansas,-,-,2,0,10,200,10.3,Clark,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.07,-93.33,34.17,-93.2,1,,1,Unmodified
19710104.13.1,Summary,1971-01-04,12:15:00,3,Georgia,-,-,0,0,0,10,0.5,Floyd,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.27,-85.15,-,-,1,,2,Unmodified
19710105.37.1,Summary,1971-01-05,02:30:00,3,North Carolina,-,-,2,0,0,150,1.5,Harnett,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.25,-78.92,-,-,1,,3,Unmodified
19710105.13.2,Summary,1971-01-05,12:03:00,3,Georgia,-,-,2,0,1,77,3.3,Coffee,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,31.52,-82.83,31.5,-82.88,1,,4,Unmodified
19710115.12.1,Summary,1971-01-15,11:05:00,3,Florida,-,-,0,0,0,17,0.3,Washington,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,30.78,-85.57,-,-,1,,5,Unmodified
19710115.13.3,Summary,1971-01-15,11:30:00,3,Georgia,-,-,2,1,1,100,2,Sumter,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.05,-84.03,-,-,1,,6,Unmodified
19710115.13.4,Summary,1971-01-15,12:00:00,3,Georgia,-,-,2,0,0,10,0.5,Bleckley,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.38,-83.37,-,-,1,,7,Unmodified
19710115.13.5,Summary,1971-01-15,12:20:00,3,Georgia,-,-,1,0,1,10,0.1,Toombs,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.22,-82.42,-,-,1,,8,Unmodified
19710115.13.6,Summary,1971-01-15,12:30:00,3,Georgia,-,-,1,0,0,30,0.8,Ben Hill,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,31.7,-83.25,-,-,1,,9,Unmodified
19710115.13.7,Summary,1971-01-15,12:40:00,3,Georgia,-,-,1,0,0,50,0.5,Grady,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,30.88,-84.22,-,-,1,,10,Unmodified
19710115.13.8,Summary,1971-01-15,12:40:00,3,Georgia,-,-,2,0,0,10,0.1,Tattnall,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.23,-82.12,-,-,1,,11,Unmodified
19710115.13.9,Summary,1971-01-15,12:40:00,3,Georgia,-,-,2,0,0,100,1,Tattnall,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,31.93,-81.93,-,-,1,,12,Unmodified
19710115.13.10,Summary,1971-01-15,13:00:00,3,Georgia,-,-,2,0,0,10,0.1,Bacon,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,31.63,-82.58,-,-,1,,13,Unmodified
19710115.13.11,Summary,1971-01-15,13:15:00,3,Georgia,-,-,2,0,4,100,0.5,Liberty,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,31.8,-81.6,-,-,1,,14,Unmodified
19710125.1.1,Summary,1971-01-25,15:00:00,3,Alabama,-,-,0,0,0,10,2,Blount,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.97,-86.62,-,-,1,,15,Unmodified
19710125.1.2,Summary,1971-01-25,16:15:00,3,Alabama,-,-,1,0,0,10,1,Cleburne,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.63,-85.6,-,-,1,,16,Unmodified
19710128.15.1,Summary,1971-01-28,03:55:00,3,Hawaii,-,-,1,0,0,33,1.7,Honolulu,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,21.5,-158.03,21.5,-158.03,1,,17,Unmodified
19710128.15.2,Summary,1971-01-28,14:50:00,3,Hawaii,-,-,2,0,4,100,1,Hawaii,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,19.67,-156,19.67,-156,1,,18,Unmodified
19710130.13.12,Summary,1971-01-30,16:35:00,3,Georgia,-,-,1,0,6,27,0.5,Stephens,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.57,-83.42,-,-,1,,19,Unmodified
19710204.29.1,Summary,1971-02-04,08:10:00,3,Missouri,-,-,1,0,0,30,0.2,Newton,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,36.98,-94.52,-,-,1,,20,Unmodified
19710204.29.2,Summary,1971-02-04,08:45:00,3,Missouri,-,-,1,0,0,17,0.2,Jasper,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,37.27,-94.1,-,-,1,,21,Unmodified
19710204.40.1,Summary,1971-02-04,10:05:00,3,Oklahoma,-,-,1,0,0,220,0.5,McCurtain,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.07,-94.5,-,-,1,,22,Unmodified
19710204.28.1,Summary,1971-02-04,15:50:00,3,Mississippi,-,-,0,0,0,10,0.1,Bolivar,-,-,-,-,-,-,-,-,-,-,-,-,,34.07,-90.72,-,-,1,,23,Unmodified
19710204.28.2,Summary,1971-02-04,17:15:00,3,Mississippi,-,-,2,7,0,10,6.1,Grenada,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.72,-89.6,33.77,-89.52,1,,24,Unmodified
19710204.28.3,Summary,1971-02-04,17:40:00,3,Mississippi,-,-,1,0,0,10,0.1,Rankin,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,32.3,-90.1,-,-,1,,25,Unmodified
19710204.28.4,Summary,1971-02-04,18:00:00,3,Mississippi,-,-,1,0,1,10,0.1,Carroll,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.67,-89.93,-,-,1,,26,Unmodified
19710204.1.3,Summary,1971-02-04,19:45:00,3,Alabama,-,-,3,1,13,750,34.1,Marion,Franklin,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.03,-87.95,34.38,-87.53,1,,27,Unmodified
19710207.12.2,Summary,1971-02-07,03:18:00,3,Florida,-,-,3,0,112,100,1,Escambia,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,30.35,-87.17,-,-,1,,28,Unmodified
