Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
20040116.48.1,Summary,2004-01-16,17:10:00,3,Texas,-,-,0,0,0,75,0.5,Coleman,-,-,-,-,-,-,-,-,-,-,-,$0.01,,31.98,-99.63,31.98,-99.63,1,,2,Unmodified
20040125.22.1,Summary,2004-01-25,06:47:00,3,Louisiana,-,-,2,0,3,10,1,Lafayette,-,-,-,-,-,-,-,-,-,-,-,<$50,,30.15,-92.1,30.15,-92.08,1,,1,Unmodified
20040125.15.1,Summary,2004-01-25,17:45:00,3,Hawaii,-,-,0,0,0,25,1,Honolulu,-,-,-,-,-,-,-,-,-,-,-,-,,21.42,-158.03,21.42,-158.03,1,,725,Unmodified
20040202.6.1,Summary,2004-02-02,17:00:00,3,California,-,-,0,0,0,5,0.5,San Luis Obispo,-,-,-,-,-,-,-,-,-,-,-,-,,35.1,-120.63,35.1,-120.63,1,,9,Unmodified
20040205.28.1,Summary,2004-02-05,10:26:00,3,Mississippi,-,-,2,0,0,300,10,Simpson,Rankin,-,-,-,-,-,-,-,-,-,-,$0.26,,31.98,-90.1,32.08,-89.97,1,,730,Unmodified
20040205.28.2,Summary,2004-02-05,13:20:00,3,Mississippi,-,-,1,0,0,200,8,Newton,-,-,-,-,-,-,-,-,-,-,-,$0.03,,32.23,-89.13,32.28,-89.02,1,,731,Unmodified
20040205.28.3,Summary,2004-02-05,16:15:00,3,Mississippi,-,-,1,0,0,100,1.5,Lauderdale,-,-,-,-,-,-,-,-,-,-,-,$0.08,,32.52,-88.87,32.53,-88.85,1,,732,Unmodified
20040206.13.1,Summary,2004-02-06,15:40:00,3,Georgia,-,-,0,0,0,100,0.3,Tattnall,-,-,-,-,-,-,-,-,-,-,-,$0.01,,32.08,-82.12,32.08,-82.12,1,,6,Unmodified
20040207.15.2,Summary,2004-02-07,20:40:00,3,Hawaii,-,-,0,0,0,15,1,Honolulu,-,-,-,-,-,-,-,-,-,-,-,-,,21.38,-158.92,21.38,-158.92,1,,723,Unmodified
20040224.12.1,Summary,2004-02-24,12:45:00,3,Florida,-,-,0,0,0,30,0.3,Polk,-,-,-,-,-,-,-,-,-,-,-,$0.01,,28.05,-81.82,28.05,-81.82,1,,4,Unmodified
20040224.48.2,Summary,2004-02-24,21:10:00,3,Texas,-,-,0,0,0,50,0.2,Brazos,-,-,-,-,-,-,-,-,-,-,-,$0.03,,30.6,-96.33,30.6,-96.33,1,,5,Unmodified
20040228.15.3,Summary,2004-02-28,02:30:00,3,Hawaii,-,-,0,0,0,25,5,Hawaii,-,-,-,-,-,-,-,-,-,-,-,-,,19.18,-155.47,19.42,-155.23,1,,724,Unmodified
20040304.48.3,Summary,2004-03-04,09:25:00,3,Texas,-,-,0,0,0,75,0.5,Reagan,-,-,-,-,-,-,-,-,-,-,-,$0.02,,31.53,-101.43,31.55,-101.42,1,,754,Unmodified
20040304.48.4,Summary,2004-03-04,09:30:00,3,Texas,-,-,0,0,0,50,0.7,Glasscock,-,-,-,-,-,-,-,-,-,-,-,$0.04,,31.7,-101.42,31.7,-101.42,1,,757,Unmodified
20040304.48.5,Summary,2004-03-04,10:28:00,3,Texas,-,-,0,0,0,75,0.5,Mitchell,-,-,-,-,-,-,-,-,-,-,-,$0.12,,32.27,-100.85,32.28,-100.8,1,,756,Unmodified
20040304.48.6,Summary,2004-03-04,10:38:00,3,Texas,-,-,0,0,1,75,1,Mitchell,-,-,-,-,-,-,-,-,-,-,-,$0.28,,32.42,-100.72,32.42,-100.7,1,,755,Unmodified
20040304.48.7,Summary,2004-03-04,10:41:00,3,Texas,-,-,1,0,0,50,0.3,Tom Green,-,-,-,-,-,-,-,-,-,-,-,$0.2,,31.6,-100.63,31.6,-100.63,1,,776,Unmodified
20040304.48.8,Summary,2004-03-04,11:03:00,3,Texas,-,-,1,0,0,50,0.5,Nolan,-,-,-,-,-,-,-,-,-,-,-,$0.1,,32.4,-100.33,32.43,-100.3,1,,775,Unmodified
20040304.48.9,Summary,2004-03-04,11:26:00,3,Texas,-,-,0,0,0,25,0.1,Taylor,-,-,-,-,-,-,-,-,-,-,-,$0.01,,32.1,-99.9,32.1,-99.9,1,,777,Unmodified
20040304.48.10,Summary,2004-03-04,11:31:00,3,Texas,-,-,2,0,2,440,10,Taylor,-,-,-,-,-,-,-,-,-,-,-,$0.8,,32.12,-99.92,32.23,-99.78,1,,778,Unmodified
20040304.48.11,Summary,2004-03-04,11:51:00,3,Texas,-,-,1,0,0,100,12,Taylor,Callahan,-,-,-,-,-,-,-,-,-,-,$0.3,,32.32,-99.67,32.4,-99.58,1,,779,Unmodified
20040304.48.12,Summary,2004-03-04,12:01:00,3,Texas,-,-,2,0,0,440,1,Haskell,-,-,-,-,-,-,-,-,-,-,-,$0.1,,33.08,-99.62,33.08,-99.62,1,,774,Unmodified
20040304.48.13,Summary,2004-03-04,12:10:00,3,Texas,-,-,0,0,0,75,30,Callahan,Shackelford,-,-,-,-,-,-,-,-,-,-,$0.2,,32.43,-99.45,32.55,-99.37,1,,780,Unmodified
20040304.48.14,Summary,2004-03-04,12:30:00,3,Texas,-,-,0,0,0,25,0.1,Shackelford,-,-,-,-,-,-,-,-,-,-,-,$0.05,,32.65,-99.17,32.65,-99.17,1,,781,Unmodified
20040304.48.15,Summary,2004-03-04,12:36:00,3,Texas,-,-,0,0,0,440,1,Brown,-,-,-,-,-,-,-,-,-,-,-,$0.05,,32.08,-98.98,32.08,-98.98,1,,782,Unmodified
20040304.48.16,Summary,2004-03-04,12:45:00,3,Texas,-,-,0,0,0,50,0.1,Stephens,-,-,-,-,-,-,-,-,-,-,-,-,,32.75,-98.92,32.75,-98.92,1,,766,Unmodified
20040304.48.17,Summary,2004-03-04,13:00:00,3,Texas,-,-,1,0,0,100,24,Young,Jack,-,-,-,-,-,-,-,-,-,-,$0.5,,33,-98.75,33.17,-98.38,1,,765,Unmodified
20040304.48.18,Summary,2004-03-04,13:50:00,3,Texas,-,-,1,0,0,50,0.1,Parker,-,-,-,-,-,-,-,-,-,-,-,$0.01,,32.8,-97.92,32.8,-97.92,1,,767,Unmodified
20040304.48.19,Summary,2004-03-04,14:16:00,3,Texas,-,-,1,0,0,100,0.2,Parker,-,-,-,-,-,-,-,-,-,-,-,$0.03,,32.98,-97.68,32.98,-97.68,1,,764,Unmodified
20040304.48.20,Summary,2004-03-04,14:25:00,3,Texas,-,-,0,0,0,100,0.2,Wise,-,-,-,-,-,-,-,-,-,-,-,$0.01,,33.08,-97.58,33.08,-97.58,1,,763,Unmodified
20040304.48.21,Summary,2004-03-04,14:40:00,3,Texas,-,-,0,0,0,50,0.1,Denton,-,-,-,-,-,-,-,-,-,-,-,-,,33.27,-97.37,33.27,-97.37,1,,769,Unmodified
20040304.48.22,Summary,2004-03-04,15:10:00,3,Texas,-,-,1,0,0,100,7,Ellis,-,-,-,-,-,-,-,-,-,-,-,$0.15,,32.13,-96.88,32.2,-96.78,1,,770,Unmodified
20040304.48.23,Summary,2004-03-04,15:25:00,3,Texas,-,-,1,0,0,100,7,Ellis,-,-,-,-,-,-,-,-,-,-,-,$0.25,,32.25,-96.7,32.33,-96.63,1,,771,Unmodified
20040304.48.24,Summary,2004-03-04,15:35:00,3,Texas,-,-,1,0,2,660,3,Collin,-,-,-,-,-,-,-,-,-,-,-,$0.15,,33.1,-96.47,33.12,-96.43,1,,768,Unmodified
20040304.48.25,Summary,2004-03-04,17:15:00,3,Texas,-,-,1,0,0,50,14,Smith,-,-,-,-,-,-,-,-,-,-,-,$0.03,,32.13,-95.42,32.13,-95.42,1,,10,Unmodified
20040304.40.1,Summary,2004-03-04,17:27:00,3,Oklahoma,-,-,0,0,0,200,1.7,Sequoyah,-,-,-,-,-,-,-,-,-,-,-,$0.02,,35.43,-94.62,35.45,-94.6,1,,13,Unmodified
20040304.5.1,Summary,2004-03-04,18:12:00,3,Arkansas,-,-,0,0,0,25,0.2,Crawford,-,-,-,-,-,-,-,-,-,-,-,-,,35.68,-94.18,35.68,-94.18,1,,12,Unmodified
20040305.28.4,Summary,2004-03-05,18:01:00,3,Mississippi,-,-,0,0,0,50,0.2,Holmes,-,-,-,-,-,-,-,-,-,-,-,$0.01,,33.18,-89.83,33.18,-89.83,1,,8,Unmodified
20040305.1.1,Summary,2004-03-05,21:28:00,3,Alabama,-,-,0,0,0,75,2,Limestone,-,-,-,-,-,-,-,-,-,-,-,-,,34.77,-86.88,34.77,-86.87,1,,733,Unmodified
20040305.1.2,Summary,2004-03-05,21:33:00,3,Alabama,-,-,0,0,0,75,1.5,Limestone,-,-,-,-,-,-,-,-,-,-,-,-,,34.75,-86.85,34.8,-86.8,1,,734,Unmodified
20040305.47.1,Summary,2004-03-05,23:35:00,3,Tennessee,-,-,0,0,0,100,0.2,Franklin,-,-,-,-,-,-,-,-,-,-,-,-,,35.2,-85.93,35.2,-85.93,1,,7,Unmodified
20040316.12.2,Summary,2004-03-16,14:15:00,3,Florida,-,-,0,0,0,30,0.2,Martin,-,-,-,-,-,-,-,-,-,-,-,$0.02,,27,-80.2,27,-80.2,1,,741,Unmodified
20040316.12.3,Summary,2004-03-16,14:28:00,3,Florida,-,-,0,0,0,30,0.1,Martin,-,-,-,-,-,-,-,-,-,-,-,$0.01,,27.07,-80.15,27.07,-80.15,1,,742,Unmodified
20040317.48.26,Summary,2004-03-17,00:40:00,3,Texas,-,-,0,0,0,30,0.2,Brazos,-,-,-,-,-,-,-,-,-,-,-,$0.003,,30.6,-96.33,30.6,-96.33,1,,11,Unmodified
20040324.8.1,Summary,2004-03-24,14:44:00,3,Colorado,-,-,0,0,0,50,0.1,Weld,-,-,-,-,-,-,-,-,-,-,-,-,,40.33,-104.83,40.33,-104.83,1,,14,Unmodified
20040327.40.2,Summary,2004-03-27,12:43:00,3,Oklahoma,-,-,0,0,0,50,2,Ellis,-,-,-,-,-,-,-,-,-,-,-,-,,36.02,-99.62,36.07,-99.68,1,,743,Unmodified
20040327.20.1,Summary,2004-03-27,13:09:00,3,Kansas,-,-,0,0,0,20,1.5,Edwards,-,-,-,-,-,-,-,-,-,-,-,-,,37.95,-99.53,37.98,-99.5,1,,758,Unmodified
20040327.20.2,Summary,2004-03-27,13:13:00,3,Kansas,-,-,3,0,0,1300,10,Edwards,Pawnee,-,-,-,-,-,-,-,-,-,-,$0.48,,37.97,-99.48,38.12,-99.35,1,,759,Unmodified
