Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19750107.22.1,Summary,1975-01-07,15:32:00,3,Louisiana,-,-,1,0,1,10,0.5,Vermilion,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,29.75,-92.4,-,-,1,,1,Unmodified
19750107.22.2,Summary,1975-01-07,19:30:00,3,Louisiana,-,-,0,0,0,10,0.1,Lafayette,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,30.3,-91.98,-,-,1,,2,Unmodified
19750108.12.1,Summary,1975-01-08,12:44:00,3,Florida,-,-,0,0,0,10,0.1,Wakulla,-,-,-,-,-,-,-,-,-,-,-,-,,30.07,-84.57,-,-,1,,3,Unmodified
19750109.40.1,Summary,1975-01-09,22:30:00,3,Oklahoma,-,-,1,0,0,300,12.4,Pittsburg,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.75,-96,34.92,-95.92,1,,4,Unmodified
19750109.22.3,Summary,1975-01-09,22:40:00,3,Louisiana,-,-,2,0,6,50,18,Madison,East Carroll,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.45,-91.3,32.68,-91.17,1,,5,Unmodified
19750110.5.1,Summary,1975-01-10,00:55:00,3,Arkansas,-,-,1,0,5,100,0.5,Washington,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.18,-94.13,-,-,1,,6,Unmodified
19750110.48.1,Summary,1975-01-10,01:30:00,3,Texas,-,-,2,0,0,213,0.3,Morris,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.03,-94.73,-,-,1,,7,Unmodified
19750110.48.2,Summary,1975-01-10,02:00:00,3,Texas,-,-,2,0,0,107,4,Bowie,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33.47,-94.27,-,-,1,,8,Unmodified
19750110.48.3,Summary,1975-01-10,03:55:00,3,Texas,-,-,1,0,0,10,0.1,Galveston,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,29.37,-94.97,-,-,1,,9,Unmodified
19750110.48.4,Summary,1975-01-10,04:30:00,3,Texas,-,-,1,0,0,10,0.1,Jasper,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,30.92,-94,-,-,1,,10,Unmodified
19750110.48.5,Summary,1975-01-10,04:30:00,3,Texas,-,-,1,0,0,10,0.1,Hardin,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,30.37,-94.32,-,-,1,,11,Unmodified
19750110.22.4,Summary,1975-01-10,05:25:00,3,Louisiana,-,-,1,0,0,27,0.5,Calcasieu,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,30.18,-93.58,-,-,1,,12,Unmodified
19750110.5.2,Summary,1975-01-10,06:10:00,3,Arkansas,-,-,1,0,0,50,0.5,Arkansas,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.38,-91.55,-,-,1,,13,Unmodified
19750110.22.5,Summary,1975-01-10,06:30:00,3,Louisiana,-,-,1,0,0,10,0.1,Grant,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,31.48,-92.3,-,-,1,,14,Unmodified
19750110.22.6,Summary,1975-01-10,07:15:00,3,Louisiana,-,-,1,0,0,33,7.6,Jefferson Davis,Acadia,-,-,-,-,-,-,-,-,-,-,-,,30.22,-92.65,30.27,-92.57,1,,15,Unmodified
19750110.22.7,Summary,1975-01-10,07:15:00,3,Louisiana,-,-,1,0,1,27,0.5,West Carroll,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.87,-91.38,-,-,1,,16,Unmodified
19750110.22.8,Summary,1975-01-10,07:35:00,3,Louisiana,-,-,1,1,8,37,13.5,Acadia,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,30.17,-92.58,30.22,-92.37,1,,17,Unmodified
19750110.22.9,Summary,1975-01-10,08:00:00,3,Louisiana,-,-,1,0,5,33,1,St. Landry,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,30.52,-92.18,-,-,1,,18,Unmodified
19750110.28.1,Summary,1975-01-10,08:14:00,3,Mississippi,-,-,4,9,210,200,56.5,Pike,Lincoln,Lawrence,Simpson,-,-,-,-,-,-,-,-,$5M-$50M,,31.18,-90.53,31.87,-89.97,1,,19,Unmodified
19750110.28.2,Summary,1975-01-10,08:48:00,3,Mississippi,-,-,1,0,0,150,11.9,Adams,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,31.48,-91.4,31.63,-91.3,1,,20,Unmodified
19750110.28.3,Summary,1975-01-10,09:55:00,3,Mississippi,-,-,2,0,1,50,15,Hinds,Madison,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,32.32,-90.35,32.52,-90.27,1,,21,Unmodified
19750110.28.4,Summary,1975-01-10,10:10:00,3,Mississippi,-,-,2,0,0,77,4.5,Rankin,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.22,-90.03,32.25,-89.97,1,,22,Unmodified
19750110.17.1,Summary,1975-01-10,11:15:00,3,Illinois,-,-,2,0,0,587,2,Saline,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,37.82,-88.53,-,-,1,,23,Unmodified
19750110.17.2,Summary,1975-01-10,11:32:00,3,Illinois,-,-,1,0,0,10,0.1,Gallatin,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,37.7,-88.13,-,-,1,,24,Unmodified
19750110.18.1,Summary,1975-01-10,12:25:00,3,Indiana,-,-,1,0,0,50,0.5,Vanderburgh,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,38,-87.57,-,-,1,,25,Unmodified
19750110.28.5,Summary,1975-01-10,14:00:00,3,Mississippi,-,-,1,0,0,27,0.5,Harrison,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,30.18,-88.95,-,-,1,,26,Unmodified
19750110.28.6,Summary,1975-01-10,14:25:00,3,Mississippi,-,-,1,0,0,33,2.5,Jackson,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,30.37,-88.58,-,-,1,,27,Unmodified
19750110.1.1,Summary,1975-01-10,14:30:00,3,Alabama,-,-,1,0,0,10,0.1,Tuscaloosa,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.28,-87.28,-,-,1,,28,Unmodified
19750110.28.7,Summary,1975-01-10,14:30:00,3,Mississippi,-,-,2,0,0,70,0.1,Jackson,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,30.5,-88.5,-,-,1,,29,Unmodified
19750110.1.2,Summary,1975-01-10,14:45:00,3,Alabama,-,-,1,0,0,10,0.1,Mobile,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,31.1,-88.23,-,-,1,,30,Unmodified
19750110.1.3,Summary,1975-01-10,14:45:00,3,Alabama,-,-,1,0,0,10,0.1,Marengo,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,32.47,-87.6,-,-,1,,31,Unmodified
19750110.1.4,Summary,1975-01-10,14:45:00,3,Alabama,-,-,2,0,4,100,2,Jefferson,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33.63,-87.05,-,-,1,,32,Unmodified
19750110.1.5,Summary,1975-01-10,15:45:00,3,Alabama,-,-,1,0,0,10,0.1,Jefferson,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33.42,-86.82,-,-,1,,33,Unmodified
19750110.1.6,Summary,1975-01-10,16:00:00,3,Alabama,-,-,1,0,14,50,0.2,Shelby,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33.28,-86.82,-,-,1,,34,Unmodified
19750110.1.7,Summary,1975-01-10,16:14:00,3,Alabama,-,-,3,1,60,150,18.8,St. Clair,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,33.55,-86.32,33.77,-86.12,1,,35,Unmodified
19750110.1.8,Summary,1975-01-10,16:15:00,3,Alabama,-,-,1,0,0,10,0.1,Baldwin,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,30.63,-87.78,-,-,1,,36,Unmodified
19750110.1.9,Summary,1975-01-10,16:45:00,3,Alabama,-,-,1,0,0,10,0.1,Autauga,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.47,-86.48,-,-,1,,37,Unmodified
19750110.1.10,Summary,1975-01-10,16:50:00,3,Alabama,-,-,2,0,0,100,2,Montgomery,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,32.3,-86.4,-,-,1,,38,Unmodified
19750110.12.2,Summary,1975-01-10,17:55:00,3,Florida,-,-,1,0,7,50,1,Okaloosa,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,30.4,-86.75,-,-,1,,39,Unmodified
19750110.1.11,Summary,1975-01-10,18:00:00,3,Alabama,-,-,2,0,9,100,1,Macon,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,32.3,-85.68,-,-,1,,40,Unmodified
19750110.1.12,Summary,1975-01-10,18:30:00,3,Alabama,-,-,2,0,0,10,0.1,Lee,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,32.6,-85.23,-,-,1,,41,Unmodified
19750110.1.13,Summary,1975-01-10,18:30:00,3,Alabama,-,-,1,0,1,50,0.1,Cleburne,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33.53,-85.3,-,-,1,,42,Unmodified
19750110.12.3,Summary,1975-01-10,19:30:00,3,Florida,-,-,0,0,0,10,0.1,Holmes,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,30.75,-85.93,-,-,1,,43,Unmodified
