Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19880118.6.1,Summary,1988-01-18,13:30:00,3,California,-,-,0,0,0,13,1.5,Orange,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.6,-117.63,-,-,1,,1,Unmodified
19880118.6.2,Summary,1988-01-18,14:00:00,3,California,-,-,0,0,0,10,0.2,Orange,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,33.42,-117.62,-,-,1,,2,Unmodified
19880119.5.1,Summary,1988-01-19,06:20:00,3,Arkansas,-,-,2,0,13,600,15,Ashley,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,33.13,-91.95,33.3,-91.82,1,,3,Unmodified
19880119.28.1,Summary,1988-01-19,10:00:00,3,Mississippi,-,-,1,0,0,33,11,Bolivar,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.67,-90.83,33.82,-90.73,1,,4,Unmodified
19880119.28.2,Summary,1988-01-19,10:12:00,3,Mississippi,-,-,2,0,1,70,9.5,DeSoto,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,34.85,-90.12,34.95,-89.98,1,,5,Unmodified
19880119.28.3,Summary,1988-01-19,11:10:00,3,Mississippi,-,-,1,0,0,40,1.5,Attala,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,32.97,-89.83,-,-,1,,6,Unmodified
19880119.28.4,Summary,1988-01-19,11:20:00,3,Mississippi,-,-,4,0,1,700,13,Attala,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,33.15,-89.58,33.27,-89.33,1,,7,Unmodified
19880119.47.2,Summary,1988-01-19,11:30:00,3,Tennessee,-,-,2,1,6,60,3,Haywood,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.65,-89.22,35.68,-89.17,1,,8,Unmodified
19880119.47.1,Summary,1988-01-19,11:52:00,3,Tennessee,-,-,3,3,24,200,22,Fayette,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,35.07,-89.45,35.97,-88.05,1,,9,Unmodified
19880119.47.3,Summary,1988-01-19,11:58:00,3,Tennessee,-,-,2,1,0,60,4,Gibson,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.82,-88.9,35.85,-88.82,1,,10,Unmodified
19880119.28.5,Summary,1988-01-19,12:20:00,3,Mississippi,-,-,3,0,0,100,10,Clay,Chickasaw,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,33.78,-88.87,33.72,-88.77,1,,11,Unmodified
19880119.47.4,Summary,1988-01-19,13:05:00,3,Tennessee,-,-,1,0,0,30,1.5,Carroll,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.07,-88.5,-,-,1,,12,Unmodified
19880119.28.6,Summary,1988-01-19,15:20:00,3,Mississippi,-,-,1,0,10,30,1,Lauderdale,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.55,-88.5,-,-,1,,13,Unmodified
19880119.1.1,Summary,1988-01-19,17:25:00,3,Alabama,-,-,3,0,35,440,10,Cullman,-,-,-,-,-,-,-,-,-,-,-,$5M-$50M,,34.12,-86.9,34.25,-86.77,1,,14,Unmodified
19880119.1.2,Summary,1988-01-19,18:15:00,3,Alabama,-,-,1,0,0,440,6,Bibb,Shelby,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33.02,-86.92,33.1,-86.87,1,,15,Unmodified
