Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19810122.6.1,Summary,1981-01-22,09:30:00,3,California,-,-,0,0,0,10,0.1,Butte,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,39.73,-121.88,-,-,1,,1,Unmodified
19810123.6.2,Summary,1981-01-23,12:45:00,3,California,-,-,0,0,0,10,0.1,San Joaquin,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,37.97,-121.3,-,-,1,,2,Unmodified
19810201.12.1,Summary,1981-02-01,23:00:00,3,Florida,-,-,1,0,0,10,0.3,Bay,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,30.12,-85.57,-,-,1,,3,Unmodified
19810202.45.1,Summary,1981-02-02,01:00:00,3,South Carolina,-,-,1,0,0,33,0.1,Dillon,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.28,-79.27,-,-,1,,4,Unmodified
19810202.45.2,Summary,1981-02-02,02:10:00,3,South Carolina,-,-,1,0,0,33,0.1,Dillon,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.32,-79.33,-,-,1,,5,Unmodified
19810202.12.2,Summary,1981-02-02,04:30:00,3,Florida,-,-,1,0,0,10,0.5,Hillsborough,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,28.05,-82.3,-,-,1,,6,Unmodified
19810202.12.3,Summary,1981-02-02,11:10:00,3,Florida,-,-,1,0,0,10,0.3,Martin,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,27.17,-80.3,-,-,1,,7,Unmodified
19810210.48.1,Summary,1981-02-10,01:13:00,3,Texas,-,-,2,0,0,100,0.8,Williamson,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,30.67,-97.67,-,-,1,,8,Unmodified
19810210.48.2,Summary,1981-02-10,02:45:00,3,Texas,-,-,1,0,1,77,2,Brazos,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,30.78,-96.3,-,-,1,,9,Unmodified
19810210.48.3,Summary,1981-02-10,03:10:00,3,Texas,-,-,2,0,2,77,2.5,Grimes,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,30.77,-96,-,-,1,,10,Unmodified
19810210.48.4,Summary,1981-02-10,03:25:00,3,Texas,-,-,2,1,8,100,19.9,Walker,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,30.8,-95.57,30.83,-95.23,1,,11,Unmodified
19810210.28.1,Summary,1981-02-10,07:45:00,3,Mississippi,-,-,2,0,2,50,0.5,Jackson,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,30.52,-88.55,-,-,1,,12,Unmodified
19810210.1.1,Summary,1981-02-10,08:40:00,3,Alabama,-,-,2,0,62,150,1.5,Baldwin,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,30.88,-87.78,-,-,1,,13,Unmodified
19810210.12.4,Summary,1981-02-10,12:30:00,3,Florida,-,-,1,0,0,50,1.5,Okaloosa,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,30.83,-86.7,-,-,1,,14,Unmodified
19810210.1.2,Summary,1981-02-10,17:45:00,3,Alabama,-,-,1,0,5,77,7.4,Houston,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,31.13,-85.4,31.23,-85.37,1,,15,Unmodified
19810211.45.3,Summary,1981-02-11,00:00:00,3,South Carolina,-,-,1,0,0,33,0.8,Richland,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.95,-80.85,-,-,1,,16,Unmodified
19810211.45.4,Summary,1981-02-11,00:15:00,3,South Carolina,-,-,1,0,0,50,2,Lexington,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.98,-81.25,-,-,1,,17,Unmodified
19810211.37.1,Summary,1981-02-11,01:45:00,3,North Carolina,-,-,2,0,0,700,5.2,Moore,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,35.08,-79.5,35.13,-79.43,1,,18,Unmodified
19810211.37.2,Summary,1981-02-11,01:55:00,3,North Carolina,-,-,2,0,0,800,7.6,Moore,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.2,-79.38,35.25,-79.27,1,,19,Unmodified
19810211.37.3,Summary,1981-02-11,02:30:00,3,North Carolina,-,-,2,1,0,847,12.4,Hoke,Cumberland,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.98,-79.08,35.07,-78.9,1,,20,Unmodified
19810211.37.4,Summary,1981-02-11,03:05:00,3,North Carolina,-,-,2,0,2,800,1.9,Wake,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.78,-78.5,-,-,1,,21,Unmodified
19810211.37.5,Summary,1981-02-11,03:36:00,3,North Carolina,-,-,2,0,0,800,3.3,Nash,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,35.93,-78.15,35.95,-78.1,1,,22,Unmodified
19810211.12.5,Summary,1981-02-11,09:15:00,3,Florida,-,-,1,0,0,10,0.5,Lake,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,28.8,-81.87,-,-,1,,23,Unmodified
19810211.51.1,Summary,1981-02-11,17:45:00,3,Virginia,-,-,1,0,0,70,0.1,Chesterfield,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,37.48,-77.45,-,-,1,,24,Unmodified
19810221.48.5,Summary,1981-02-21,16:40:00,3,Texas,-,-,1,0,0,10,0.1,Upshur,-,-,-,-,-,-,-,-,-,-,-,-,,32.73,-95.1,-,-,1,,25,Unmodified
19810221.48.6,Summary,1981-02-21,17:30:00,3,Texas,-,-,1,0,0,10,0.1,Cass,-,-,-,-,-,-,-,-,-,-,-,-,,32.95,-94.55,-,-,1,,26,Unmodified
19810221.48.7,Summary,1981-02-21,19:10:00,3,Texas,-,-,1,0,0,10,0.1,Marion,-,-,-,-,-,-,-,-,-,-,-,-,,32.78,-94.35,-,-,1,,27,Unmodified
19810303.48.8,Summary,1981-03-03,14:50:00,3,Texas,-,-,0,0,0,30,11.9,Lubbock,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.53,-101.8,33.67,-101.67,1,,28,Unmodified
19810303.48.9,Summary,1981-03-03,15:15:00,3,Texas,-,-,0,0,0,10,0.7,Crosby,-,-,-,-,-,-,-,-,-,-,-,<$50,,33.73,-101.47,-,-,1,,29,Unmodified
19810303.48.10,Summary,1981-03-03,15:27:00,3,Texas,-,-,0,0,0,30,23.3,Lubbock,Crosby,-,-,-,-,-,-,-,-,-,-,<$50,,33.5,-101.57,33.83,-101.5,1,,30,Unmodified
19810303.48.11,Summary,1981-03-03,16:25:00,3,Texas,-,-,0,0,1,50,1,Hutchinson,-,-,-,-,-,-,-,-,-,-,-,<$50,,35.67,-101.38,-,-,1,,31,Unmodified
19810304.40.1,Summary,1981-03-04,16:25:00,3,Oklahoma,-,-,0,0,0,13,0.3,Ellis,-,-,-,-,-,-,-,-,-,-,-,-,,36.3,-99.88,-,-,1,,32,Unmodified
19810304.1.3,Summary,1981-03-04,17:20:00,3,Alabama,-,-,1,0,0,50,0.3,Pike,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,31.67,-86.1,-,-,1,,33,Unmodified
19810307.48.12,Summary,1981-03-07,16:00:00,3,Texas,-,-,1,0,0,100,4.1,Baylor,-,-,-,-,-,-,-,-,-,-,-,-,,33.75,-99.22,33.75,-99.15,1,,34,Unmodified
19810317.48.13,Summary,1981-03-17,19:30:00,3,Texas,-,-,2,0,1,73,1,Grayson,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33.75,-96.53,-,-,1,,35,Unmodified
19810318.1.4,Summary,1981-03-18,12:20:00,3,Alabama,-,-,1,0,0,40,0.4,Montgomery,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,32.28,-86,-,-,1,,36,Unmodified
19810318.13.1,Summary,1981-03-18,13:25:00,3,Georgia,-,-,1,0,1,30,2,Jefferson,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.87,-82.4,-,-,1,,37,Unmodified
19810318.13.2,Summary,1981-03-18,13:45:00,3,Georgia,-,-,1,0,0,30,1,Stewart,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.05,-84.83,-,-,1,,38,Unmodified
19810318.13.3,Summary,1981-03-18,13:45:00,3,Georgia,-,-,1,0,0,40,3.3,Telfair,Wheeler,-,-,-,-,-,-,-,-,-,-,$500-$5000,,32.1,-82.9,32.1,-82.85,1,,39,Unmodified
19810318.1.5,Summary,1981-03-18,13:50:00,3,Alabama,-,-,1,0,0,40,0.3,Bullock,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,32.23,-85.43,-,-,1,,40,Unmodified
19810318.13.4,Summary,1981-03-18,14:05:00,3,Georgia,-,-,1,0,0,40,3.3,Webster,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.03,-84.53,32.03,-84.48,1,,41,Unmodified
19810318.1.6,Summary,1981-03-18,15:30:00,3,Alabama,-,-,1,0,0,50,13.8,Clay,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.27,-85.9,33.18,-85.68,1,,42,Unmodified
19810318.12.6,Summary,1981-03-18,23:55:00,3,Florida,-,-,2,0,1,33,0.5,Seminole,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,28.67,-81.2,-,-,1,,43,Unmodified
19810319.12.7,Summary,1981-03-19,00:45:00,3,Florida,-,-,3,0,1,100,8,Orange,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,28.5,-81.42,28.55,-81.3,1,,44,Unmodified
19810319.12.8,Summary,1981-03-19,01:00:00,3,Florida,-,-,2,0,11,50,5.4,Osceola,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,28.23,-81.37,28.25,-81.28,1,,45,Unmodified
