Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19840113.6.1,Summary,1984-01-13,20:19:00,3,California,-,-,0,0,0,10,0.1,Orange,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.67,-118,-,-,1,,1,Unmodified
19840211.48.1,Summary,1984-02-11,17:35:00,3,Texas,-,-,2,0,3,100,1.5,Leon,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,31.08,-96.3,-,-,1,,2,Unmodified
19840211.20.1,Summary,1984-02-11,17:45:00,3,Kansas,-,-,0,0,0,10,0.1,Bourbon,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,37.83,-94.95,-,-,1,,3,Unmodified
19840211.20.2,Summary,1984-02-11,17:47:00,3,Kansas,-,-,1,0,0,30,1,Linn,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,38.3,-94.98,-,-,1,,4,Unmodified
19840211.48.2,Summary,1984-02-11,18:00:00,3,Texas,-,-,2,0,0,100,0.5,Leon,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.83,-96.08,-,-,1,,5,Unmodified
19840211.20.3,Summary,1984-02-11,18:05:00,3,Kansas,-,-,1,0,1,20,2,Miami,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,38.52,-94.8,-,-,1,,6,Unmodified
19840211.48.3,Summary,1984-02-11,19:20:00,3,Texas,-,-,2,0,3,100,1,Anderson,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,31.75,-95.67,-,-,1,,7,Unmodified
19840212.48.4,Summary,1984-02-12,03:10:00,3,Texas,-,-,0,0,0,40,0.3,Bexar,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,29.4,-98.57,-,-,1,,8,Unmodified
19840212.48.5,Summary,1984-02-12,03:15:00,3,Texas,-,-,0,0,0,40,0.3,Bexar,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,29.33,-98.4,-,-,1,,9,Unmodified
19840212.48.6,Summary,1984-02-12,03:20:00,3,Texas,-,-,0,0,0,40,0.3,Bexar,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,29.4,-98.47,-,-,1,,10,Unmodified
19840212.48.7,Summary,1984-02-12,03:25:00,3,Texas,-,-,0,0,0,40,0.3,Bexar,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,29.5,-98.47,-,-,1,,11,Unmodified
19840212.48.8,Summary,1984-02-12,07:00:00,3,Texas,-,-,0,0,0,33,0.1,Galveston,-,-,-,-,-,-,-,-,-,-,-,<$50,,29.35,-95.02,-,-,1,,12,Unmodified
19840212.48.9,Summary,1984-02-12,07:25:00,3,Texas,-,-,0,0,0,33,0.3,Harris,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,29.67,-95.02,-,-,1,,13,Unmodified
19840212.22.1,Summary,1984-02-12,12:40:00,3,Louisiana,-,-,1,0,0,100,0.5,Terrebonne,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,29.62,-90.72,-,-,1,,14,Unmodified
19840212.22.2,Summary,1984-02-12,14:00:00,3,Louisiana,-,-,1,0,2,30,0.5,Washington,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,30.88,-89.88,-,-,1,,15,Unmodified
19840212.1.1,Summary,1984-02-12,16:28:00,3,Alabama,-,-,1,0,0,30,0.1,Hale,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.7,-87.58,-,-,1,,16,Unmodified
19840226.48.10,Summary,1984-02-26,04:00:00,3,Texas,-,-,1,0,0,30,0.3,Erath,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.07,-98.3,-,-,1,,17,Unmodified
19840226.48.11,Summary,1984-02-26,07:10:00,3,Texas,-,-,1,0,0,30,0.5,McLennan,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,31.65,-97.33,-,-,1,,18,Unmodified
19840226.48.12,Summary,1984-02-26,17:00:00,3,Texas,-,-,0,0,0,10,0.1,Hunt,-,-,-,-,-,-,-,-,-,-,-,<$50,,33,-96.42,-,-,1,,19,Unmodified
19840226.48.13,Summary,1984-02-26,17:15:00,3,Texas,-,-,0,0,0,10,0.1,Hunt,-,-,-,-,-,-,-,-,-,-,-,<$50,,33.17,-96.17,-,-,1,,20,Unmodified
19840227.12.1,Summary,1984-02-27,07:35:00,3,Florida,-,-,3,0,1,100,7,Lafayette,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,30.05,-83.17,30.03,-83.05,1,,21,Unmodified
19840227.12.2,Summary,1984-02-27,09:15:00,3,Florida,-,-,1,0,0,10,1,Nassau,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,30.77,-81.63,-,-,1,,22,Unmodified
19840227.13.1,Summary,1984-02-27,09:45:00,3,Georgia,-,-,1,0,0,50,0.2,Camden,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,30.97,-81.82,-,-,1,,23,Unmodified
19840227.13.2,Summary,1984-02-27,09:45:00,3,Georgia,-,-,2,0,0,100,3,Camden,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,30.85,-81.6,30.9,-81.53,1,,24,Unmodified
19840227.45.1,Summary,1984-02-27,09:50:00,3,South Carolina,-,-,0,0,0,200,0.3,Colleton,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,32.48,-80.33,-,-,1,,25,Unmodified
19840227.45.2,Summary,1984-02-27,10:00:00,3,South Carolina,-,-,0,0,0,100,0.3,Charleston,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,32.8,-80.12,-,-,1,,26,Unmodified
19840227.12.3,Summary,1984-02-27,11:35:00,3,Florida,-,-,2,0,2,30,3,Clay,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,29.78,-82.02,29.83,-82,1,,27,Unmodified
19840227.12.4,Summary,1984-02-27,13:36:00,3,Florida,-,-,1,0,0,10,1,Seminole,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,28.8,-81.27,-,-,1,,28,Unmodified
19840303.40.1,Summary,1984-03-03,22:01:00,3,Oklahoma,-,-,0,0,0,30,15,Seminole,Hughes,-,-,-,-,-,-,-,-,-,-,<$50,,34.93,-96.75,34.93,-96.45,1,,29,Unmodified
19840304.22.3,Summary,1984-03-04,14:30:00,3,Louisiana,-,-,1,0,0,100,0.5,Caddo,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,32.38,-93.88,-,-,1,,30,Unmodified
19840304.22.4,Summary,1984-03-04,14:40:00,3,Louisiana,-,-,0,0,0,50,0.1,Caddo,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.42,-93.67,-,-,1,,31,Unmodified
19840304.22.5,Summary,1984-03-04,15:08:00,3,Louisiana,-,-,1,0,0,100,8,Bossier,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,32.5,-93.67,32.53,-93.5,1,,32,Unmodified
19840304.22.6,Summary,1984-03-04,17:10:00,3,Louisiana,-,-,0,0,0,50,0.1,De Soto,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.08,-93.88,-,-,1,,33,Unmodified
19840305.1.2,Summary,1984-03-05,12:45:00,3,Alabama,-,-,2,0,4,50,0.9,Coffee,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,31.55,-85.82,-,-,1,,34,Unmodified
19840305.1.3,Summary,1984-03-05,12:50:00,3,Alabama,-,-,2,0,14,50,8,Dale,-,-,-,-,-,-,-,-,-,-,-,$5M-$50M,,31.35,-85.73,31.45,-85.65,1,,35,Unmodified
19840305.13.3,Summary,1984-03-05,15:25:00,3,Georgia,-,-,1,0,0,50,7,Mitchell,Worth,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,31.32,-84.08,31.38,-83.98,1,,36,Unmodified
19840312.48.14,Summary,1984-03-12,04:00:00,3,Texas,-,-,0,0,1,10,0.1,Victoria,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,28.8,-96.98,-,-,1,,37,Unmodified
19840313.12.5,Summary,1984-03-13,00:15:00,3,Florida,-,-,0,0,0,50,0.5,Broward,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,26.13,-80.13,-,-,1,,38,Unmodified
19840315.20.4,Summary,1984-03-15,13:10:00,3,Kansas,-,-,0,0,0,10,0.1,Allen,-,-,-,-,-,-,-,-,-,-,-,<$50,,37.92,-95.3,-,-,1,,39,Unmodified
19840315.20.5,Summary,1984-03-15,13:10:00,3,Kansas,-,-,0,0,0,10,0.1,Allen,-,-,-,-,-,-,-,-,-,-,-,<$50,,37.93,-95.17,-,-,1,,40,Unmodified
19840315.40.2,Summary,1984-03-15,15:38:00,3,Oklahoma,-,-,0,0,0,30,2,Ottawa,-,-,-,-,-,-,-,-,-,-,-,<$50,,36.68,-94.97,-,-,1,,41,Unmodified
19840315.40.3,Summary,1984-03-15,16:02:00,3,Oklahoma,-,-,1,0,0,20,0.1,Delaware,-,-,-,-,-,-,-,-,-,-,-,<$50,,36.62,-94.98,-,-,1,,42,Unmodified
