Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19900114.6.1,Summary,1990-01-14,05:30:00,3,California,-,-,0,0,0,10,0.1,San Diego,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,32.75,-117.1,-,-,1,,1,Unmodified
19900116.6.2,Summary,1990-01-16,23:20:00,3,California,-,-,0,0,0,33,0.2,Los Angeles,-,-,-,-,-,-,-,-,-,-,-,-,,33.95,-118.05,-,-,1,,2,Unmodified
19900119.48.1,Summary,1990-01-19,11:30:00,3,Texas,-,-,2,0,1,50,0.8,Dallas,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,32.92,-96.63,-,-,1,,3,Unmodified
19900119.48.2,Summary,1990-01-19,15:40:00,3,Texas,-,-,3,0,2,100,13,Trinity,Angelina,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,31.22,-94.95,31.35,-94.83,1,,4,Unmodified
19900119.48.3,Summary,1990-01-19,18:10:00,3,Texas,-,-,0,0,0,10,0.2,San Augustine,-,-,-,-,-,-,-,-,-,-,-,-,,31.15,-94.1,-,-,1,,5,Unmodified
19900124.22.1,Summary,1990-01-24,10:00:00,3,Louisiana,-,-,0,0,0,27,0.2,Acadia,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,30.42,-92.32,-,-,1,,6,Unmodified
19900125.1.1,Summary,1990-01-25,05:50:00,3,Alabama,-,-,1,0,28,73,8,Crenshaw,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,31.78,-86.35,31.88,-86.2,1,,7,Unmodified
19900125.13.1,Summary,1990-01-25,11:15:00,3,Georgia,-,-,0,0,0,33,0.5,Lee,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,31.67,-84.17,-,-,1,,8,Unmodified
19900129.13.2,Summary,1990-01-29,14:43:00,3,Georgia,-,-,2,0,6,100,0.9,Richmond,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33.33,-82.18,-,-,1,,9,Unmodified
19900129.37.1,Summary,1990-01-29,18:50:00,3,North Carolina,-,-,0,0,0,100,0.7,Northampton,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.52,-77.75,-,-,1,,10,Unmodified
19900130.32.1,Summary,1990-01-30,18:20:00,3,Nevada,-,-,0,0,0,10,0.2,Clark,-,-,-,-,-,-,-,-,-,-,-,-,,36.17,-114.7,-,-,1,,11,Unmodified
19900201.48.4,Summary,1990-02-01,17:23:00,3,Texas,-,-,1,0,0,10,0.2,McLennan,-,-,-,-,-,-,-,-,-,-,-,-,,31.55,-97.15,-,-,1,,12,Unmodified
