Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19650108.22.1,Summary,1965-01-08,17:01:00,3,Louisiana,-,-,2,0,0,33,1,Lafayette,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,30.3,-92.05,-,-,1,,1,Unmodified
19650110.37.1,Summary,1965-01-10,08:15:00,3,North Carolina,-,-,1,0,0,10,0.1,Clay,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.07,-83.7,-,-,1,,2,Unmodified
19650121.48.1,Summary,1965-01-21,23:00:00,3,Texas,-,-,2,0,0,50,0.8,Fayette,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,29.62,-96.88,-,-,1,,3,Unmodified
19650122.22.2,Summary,1965-01-22,06:15:00,3,Louisiana,-,-,1,0,0,67,12.8,Caddo,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,32.45,-93.9,32.58,-93.75,1,,4,Unmodified
19650122.48.2,Summary,1965-01-22,08:00:00,3,Texas,-,-,2,0,0,67,0.1,Shelby,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,29.58,-94.32,-,-,1,,5,Unmodified
19650122.22.3,Summary,1965-01-22,10:20:00,3,Louisiana,-,-,2,0,0,33,0.5,Calcasieu,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,30.37,-93.2,-,-,1,,6,Unmodified
19650122.22.4,Summary,1965-01-22,11:00:00,3,Louisiana,-,-,1,0,0,33,1,Jefferson Davis,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,30.25,-92.75,-,-,1,,7,Unmodified
19650122.22.5,Summary,1965-01-22,11:00:00,3,Louisiana,-,-,1,0,0,33,0.5,Rapides,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,30.95,-92.58,-,-,1,,8,Unmodified
19650122.22.6,Summary,1965-01-22,12:05:00,3,Louisiana,-,-,2,0,2,67,2.3,Avoyelles,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,31.23,-92.17,-,-,1,,9,Unmodified
19650122.22.7,Summary,1965-01-22,13:45:00,3,Louisiana,-,-,2,0,0,267,1,Ascension,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,30.1,-91,-,-,1,,10,Unmodified
19650122.22.8,Summary,1965-01-22,14:00:00,3,Louisiana,-,-,1,0,0,33,0.5,Ascension,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,30.13,-90.9,-,-,1,,11,Unmodified
19650122.22.9,Summary,1965-01-22,14:47:00,3,Louisiana,-,-,0,0,0,117,0.3,Livingston,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,30.5,-90.6,-,-,1,,12,Unmodified
19650122.22.10,Summary,1965-01-22,15:00:00,3,Louisiana,-,-,1,0,0,33,0.2,St. Martin,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,30.1,-91.9,-,-,1,,13,Unmodified
19650122.28.1,Summary,1965-01-22,15:10:00,3,Mississippi,-,-,1,0,5,10,0.1,Hinds,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.33,-90.33,-,-,1,,14,Unmodified
19650122.22.11,Summary,1965-01-22,15:50:00,3,Louisiana,-,-,1,0,0,67,0.3,Livingston,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,30.5,-90.53,-,-,1,,15,Unmodified
19650123.5.1,Summary,1965-01-23,17:30:00,3,Arkansas,-,-,2,0,0,10,8.7,Clay,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,36.4,-90.42,36.5,-90.32,1,,16,Unmodified
19650123.28.2,Summary,1965-01-23,18:30:00,3,Mississippi,-,-,2,0,0,23,0.5,Calhoun,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.85,-89.32,-,-,1,,17,Unmodified
19650123.18.2,Summary,1965-01-23,23:30:00,3,Indiana,-,-,2,0,0,10,0.1,Hendricks,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,39.82,-86.45,-,-,1,,18,Unmodified
19650124.18.1,Summary,1965-01-24,00:15:00,3,Indiana,-,-,1,0,2,10,0.1,Montgomery,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,39.95,-86.92,-,-,1,,19,Unmodified
19650125.29.1,Summary,1965-01-25,21:50:00,3,Missouri,-,-,0,0,0,10,0.1,Boone,-,-,-,-,-,-,-,-,-,-,-,<$50,,38.78,-92.27,-,-,1,,20,Unmodified
19650126.5.2,Summary,1965-01-26,19:00:00,3,Arkansas,-,-,2,0,0,10,0.1,Pike,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.07,-93.7,-,-,1,,21,Unmodified
19650208.5.3,Summary,1965-02-08,23:45:00,3,Arkansas,-,-,1,0,0,417,14,Howard,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.95,-94.03,34.08,-93.85,1,,22,Unmodified
19650209.49.1,Summary,1965-02-09,02:10:00,3,Utah,-,-,2,0,0,13,0.1,Salt Lake,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,40.72,-112.1,-,-,1,,23,Unmodified
19650209.5.4,Summary,1965-02-09,10:00:00,3,Arkansas,-,-,1,0,0,30,1,Clark,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.07,-93.08,-,-,1,,24,Unmodified
19650209.5.5,Summary,1965-02-09,11:15:00,3,Arkansas,-,-,1,0,0,10,0.1,Columbia,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,33.1,-93.3,-,-,1,,25,Unmodified
19650209.5.6,Summary,1965-02-09,12:00:00,3,Arkansas,-,-,1,0,0,10,0.1,Hempstead,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.67,-93.6,-,-,1,,26,Unmodified
19650209.5.7,Summary,1965-02-09,12:00:00,3,Arkansas,-,-,1,0,0,10,0.1,Columbia,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.42,-93.35,-,-,1,,27,Unmodified
19650209.5.8,Summary,1965-02-09,12:50:00,3,Arkansas,-,-,3,0,1,167,1.5,Bradley,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33.5,-92.1,-,-,1,,28,Unmodified
19650209.5.9,Summary,1965-02-09,14:00:00,3,Arkansas,-,-,3,0,4,333,10.5,Arkansas,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.23,-91.52,34.3,-91.35,1,,29,Unmodified
19650209.28.3,Summary,1965-02-09,14:30:00,3,Mississippi,-,-,1,0,0,10,0.1,Washington,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,33.33,-91,-,-,1,,30,Unmodified
19650209.5.10,Summary,1965-02-09,14:45:00,3,Arkansas,-,-,3,0,5,200,2,Monroe,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.6,-91.22,-,-,1,,31,Unmodified
19650209.48.3,Summary,1965-02-09,15:00:00,3,Texas,-,-,0,0,0,17,0.1,Harris,-,-,-,-,-,-,-,-,-,-,-,-,,29.53,-95.17,-,-,1,,32,Unmodified
19650209.17.1,Summary,1965-02-09,15:50:00,3,Illinois,-,-,2,0,0,10,3.3,White,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,38.1,-88.23,38.13,-88.18,1,,33,Unmodified
19650209.18.3,Summary,1965-02-09,17:00:00,3,Indiana,-,-,1,0,0,10,0.1,Morgan,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,39.37,-86.27,-,-,1,,34,Unmodified
19650211.48.4,Summary,1965-02-11,10:15:00,3,Texas,-,-,3,0,0,200,42.7,Nacogdoches,Shelby,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,31.62,-94.68,31.97,-94.08,1,,35,Unmodified
19650211.48.5,Summary,1965-02-11,10:30:00,3,Texas,-,-,2,0,1,10,3,Cherokee,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,31.5,-95.05,31.5,-95,1,,36,Unmodified
19650211.48.6,Summary,1965-02-11,10:30:00,3,Texas,-,-,2,0,0,10,31.3,Nacogdoches,Rusk,Shelby,Panola,-,-,-,-,-,-,-,-,$50K-$500K,,31.83,-94.53,32.12,-94.12,1,,37,Unmodified
19650211.48.7,Summary,1965-02-11,10:30:00,3,Texas,-,-,2,0,0,117,27.8,Panola,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.07,-94.43,32.28,-94.03,1,,38,Unmodified
19650211.22.12,Summary,1965-02-11,11:00:00,3,Louisiana,-,-,0,0,0,117,11.9,Caddo,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.28,-94.03,32.45,-93.98,1,,39,Unmodified
19650211.22.13,Summary,1965-02-11,11:00:00,3,Louisiana,-,-,1,0,0,117,27.1,De Soto,Caddo,Bossier,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.1,-93.75,32.4,-93.45,1,,40,Unmodified
19650211.22.14,Summary,1965-02-11,11:15:00,3,Louisiana,-,-,3,0,3,117,33,De Soto,Caddo,Bossier,-,-,-,-,-,-,-,-,-,$50K-$500K,,32.18,-94.03,32.52,-93.65,1,,41,Unmodified
19650211.22.15,Summary,1965-02-11,11:37:00,3,Louisiana,-,-,1,0,0,117,22.5,De Soto,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.12,-94.12,32.3,-93.8,1,,42,Unmodified
19650211.22.16,Summary,1965-02-11,12:45:00,3,Louisiana,-,-,2,0,0,117,9,Lincoln,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.55,-92.67,32.67,-92.6,1,,43,Unmodified
