Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19930104.48.1,Summary,1993-01-04,04:10:00,3,Texas,-,-,0,0,0,100,0.1,Smith,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,32.48,-95.35,-,-,1,,1,Unmodified
19930104.12.1,Summary,1993-01-04,15:25:00,3,Florida,-,-,0,0,0,10,0.1,Polk,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,28.03,-81.95,-,-,1,,2,Unmodified
19930107.6.1,Summary,1993-01-07,19:00:00,3,California,-,-,1,0,0,10,0.1,Butte,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,39.42,-121.72,-,-,1,,3,Unmodified
19930108.13.1,Summary,1993-01-08,02:00:00,3,Georgia,-,-,1,0,0,73,1.5,Wheeler,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,32.15,-82.78,-,-,1,,4,Unmodified
19930108.12.2,Summary,1993-01-08,09:30:00,3,Florida,-,-,0,0,0,10,0.1,Union,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,30.05,-82.32,-,-,1,,5,Unmodified
19930108.12.3,Summary,1993-01-08,12:00:00,3,Florida,-,-,0,0,0,10,0.1,Hillsborough,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,28.08,-82.58,-,-,1,,6,Unmodified
19930114.6.2,Summary,1993-01-14,03:40:00,3,California,-,-,1,0,0,30,1,Orange,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33.88,-117.95,-,-,1,,7,Unmodified
19930116.12.4,Summary,1993-01-16,03:20:00,3,Florida,-,-,0,0,0,10,0.1,Pinellas,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,27.77,-82.67,-,-,1,,8,Unmodified
19930116.12.5,Summary,1993-01-16,06:09:00,3,Florida,-,-,0,0,0,10,0.1,Charlotte,-,-,-,-,-,-,-,-,-,-,-,-,,26.85,-81.85,-,-,1,,9,Unmodified
19930116.12.6,Summary,1993-01-16,06:10:00,3,Florida,-,-,0,0,0,40,0.4,Lee,-,-,-,-,-,-,-,-,-,-,-,-,,26.63,-81.85,-,-,1,,10,Unmodified
19930117.4.1,Summary,1993-01-17,14:30:00,3,Arizona,-,-,2,0,0,50,2.1,Maricopa,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,33.62,-111.9,-,-,1,,11,Unmodified
19930117.6.3,Summary,1993-01-17,21:30:00,3,California,-,-,0,0,1,10,0.1,Orange,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,33.67,-117.75,-,-,1,,12,Unmodified
19930118.6.4,Summary,1993-01-18,01:45:00,3,California,-,-,0,0,0,50,0.7,Los Angeles,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.03,-118.3,-,-,1,,13,Unmodified
19930118.4.3,Summary,1993-01-18,14:25:00,3,Arizona,-,-,0,0,0,10,0.5,Maricopa,-,-,-,-,-,-,-,-,-,-,-,-,,33.98,-112.07,-,-,1,,15,Unmodified
19930118.4.2,Summary,1993-01-18,15:18:00,3,Arizona,-,-,1,0,0,20,2,Pinal,-,-,-,-,-,-,-,-,-,-,-,-,,33.13,-111.65,-,-,1,,14,Unmodified
19930118.6.5,Summary,1993-01-18,16:05:00,3,California,-,-,0,0,0,10,0.1,Orange,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.67,-118,-,-,1,,16,Unmodified
19930124.12.7,Summary,1993-01-24,10:30:00,3,Florida,-,-,1,0,2,50,1.5,Gulf,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,29.82,-85.3,-,-,1,,17,Unmodified
19930208.6.6,Summary,1993-02-08,14:20:00,3,California,-,-,0,0,0,10,0.5,Orange,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.92,-117.88,-,-,1,,18,Unmodified
19930208.4.4,Summary,1993-02-08,20:04:00,3,Arizona,-,-,0,0,0,20,0.5,Maricopa,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.92,-112.13,-,-,1,,19,Unmodified
19930215.28.1,Summary,1993-02-15,17:10:00,3,Mississippi,-,-,0,0,0,30,0.5,Holmes,-,-,-,-,-,-,-,-,-,-,-,-,,32.88,-89.97,-,-,1,,20,Unmodified
19930215.28.2,Summary,1993-02-15,17:27:00,3,Mississippi,-,-,0,0,0,50,1,Choctaw,-,-,-,-,-,-,-,-,-,-,-,-,,33.32,-89.17,-,-,1,,21,Unmodified
19930219.6.7,Summary,1993-02-19,21:15:00,3,California,-,-,0,0,0,30,0.1,Tulare,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,36.07,-119.32,-,-,1,,22,Unmodified
19930221.28.3,Summary,1993-02-21,09:05:00,3,Mississippi,-,-,1,0,0,73,4,Claiborne,Copiah,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,31.83,-90.78,31.87,-90.72,1,,23,Unmodified
19930221.47.1,Summary,1993-02-21,13:52:00,3,Tennessee,-,-,3,0,6,100,10,Putnam,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,36.17,-85.6,36.1,-85.43,1,,24,Unmodified
19930221.47.2,Summary,1993-02-21,14:35:00,3,Tennessee,-,-,0,0,0,23,5,Cumberland,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.95,-84.97,35.9,-84.88,1,,25,Unmodified
19930221.21.1,Summary,1993-02-21,14:35:00,3,Kentucky,-,-,0,0,0,50,1,Fleming,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,38.45,-83.73,-,-,1,,26,Unmodified
19930221.21.2,Summary,1993-02-21,14:50:00,3,Kentucky,-,-,0,0,0,50,1,Henry,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,38.55,-85.13,-,-,1,,28,Unmodified
19930221.39.1,Summary,1993-02-21,15:15:00,3,Ohio,-,-,1,0,0,73,5,Scioto,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,38.83,-83.15,38.9,-83.07,1,,30,Unmodified
19930221.47.3,Summary,1993-02-21,15:35:00,3,Tennessee,-,-,3,0,3,150,16,Anderson,Knox,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,36.02,-84.25,36.1,-83.97,1,,27,Unmodified
19930221.47.4,Summary,1993-02-21,16:05:00,3,Tennessee,-,-,3,1,55,100,30,Roane,Loudon,Blount,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.83,-84.42,35.75,-84,1,,29,Unmodified
19930221.39.2,Summary,1993-02-21,16:10:00,3,Ohio,-,-,1,0,3,73,8,Meigs,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,39.03,-82.3,39.13,-82.18,1,,33,Unmodified
19930221.47.5,Summary,1993-02-21,16:20:00,3,Tennessee,-,-,1,0,0,23,3,Roane,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.78,-84.57,35.75,-84.52,1,,31,Unmodified
19930221.47.6,Summary,1993-02-21,16:45:00,3,Tennessee,-,-,3,0,17,73,19,McMinn,Monroe,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.43,-84.5,35.27,-84.18,1,,32,Unmodified
19930221.1.1,Summary,1993-02-21,18:00:00,3,Alabama,-,-,3,0,5,100,19,Cherokee,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34,-85.65,33.97,-85.42,1,,34,Unmodified
19930221.13.2,Summary,1993-02-21,18:00:00,3,Georgia,-,-,3,1,35,880,9,Polk,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,33.95,-85.38,34.02,-85.25,1,,35,Unmodified
19930221.13.3,Summary,1993-02-21,18:20:00,3,Georgia,-,-,0,0,0,30,0.2,Gordon,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.48,-84.82,-,-,1,,36,Unmodified
19930221.13.4,Summary,1993-02-21,18:50:00,3,Georgia,-,-,1,0,1,50,1,Bartow,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.17,-84.7,-,-,1,,37,Unmodified
19930221.13.5,Summary,1993-02-21,19:15:00,3,Georgia,-,-,3,0,3,880,8,Cobb,-,-,-,-,-,-,-,-,-,-,-,$5M-$50M,,33.93,-84.7,33.9,-84.5,1,,38,Unmodified
19930221.13.7,Summary,1993-02-21,20:30:00,3,Georgia,-,-,1,0,1,500,7,Heard,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,33.4,-85.25,33.37,-85.15,1,,40,Unmodified
19930221.13.6,Summary,1993-02-21,20:50:00,3,Georgia,-,-,1,0,1,330,4,Hall,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,34.23,-83.97,34.23,-83.88,1,,39,Unmodified
19930221.45.1,Summary,1993-02-21,20:55:00,3,South Carolina,-,-,1,0,0,200,1.5,Anderson,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.52,-82.5,-,-,1,,41,Unmodified
19930221.13.9,Summary,1993-02-21,22:20:00,3,Georgia,-,-,2,1,2,100,8,Pike,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,33.07,-84.47,33.07,-84.35,1,,43,Unmodified
19930221.13.8,Summary,1993-02-21,22:45:00,3,Georgia,-,-,1,0,1,600,12,Meriwether,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,33.12,-84.83,33.1,-84.63,1,,42,Unmodified
19930222.45.2,Summary,1993-02-21,23:15:00,3,South Carolina,-,-,1,0,2,450,0.4,Lexington,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,33.95,-81.47,-,-,1,,44,Unmodified
19930222.12.8,Summary,1993-02-22,14:58:00,3,Florida,-,-,0,0,0,30,0.5,DeSoto,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,27.22,-81.87,-,-,1,,45,Unmodified
19930223.6.8,Summary,1993-02-23,16:45:00,3,California,-,-,0,0,0,30,0.1,Kern,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.68,-119.23,-,-,1,,46,Unmodified
19930225.48.2,Summary,1993-02-25,04:14:00,3,Texas,-,-,1,0,0,333,0.5,Ellis,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,32.52,-96.8,-,-,1,,47,Unmodified
