Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19990101.48.74,Summary,1999-01-01,13:00:00,3,Texas,-,-,1,0,7,-,2.5,Walker,-,-,-,-,-,-,-,-,-,-,-,$0.12,,30.75,-95.53,30.77,-95.5,1,,731,Unmodified
19990101.48.75,Summary,1999-01-01,13:23:00,3,Texas,-,-,0,0,1,-,0.3,Walker,-,-,-,-,-,-,-,-,-,-,-,$0.01,,30.85,-95.42,30.85,-95.42,1,,732,Unmodified
19990101.48.76,Summary,1999-01-01,13:41:00,3,Texas,-,-,2,0,0,500,5,Trinity,-,-,-,-,-,-,-,-,-,-,-,$0.75,,30.83,-95.38,30.77,-95.38,1,,733,Unmodified
19990101.48.80,Summary,1999-01-01,13:53:00,3,Texas,-,-,0,0,0,-,0.3,Walker,-,-,-,-,-,-,-,-,-,-,-,$0.01,,30.72,-95.37,30.72,-95.37,1,,737,Unmodified
19990101.48.77,Summary,1999-01-01,14:08:00,3,Texas,-,-,0,0,0,50,0.5,Trinity,-,-,-,-,-,-,-,-,-,-,-,$0.04,,31.07,-95.15,31.07,-95.15,1,,734,Unmodified
19990101.48.1,Summary,1999-01-01,19:15:00,3,Texas,-,-,0,0,0,20,0.1,Wilson,-,-,-,-,-,-,-,-,-,-,-,-,,29.23,-97.93,29.23,-97.93,1,,11,Unmodified
19990101.48.2,Summary,1999-01-01,19:21:00,3,Texas,-,-,0,0,0,30,0.1,Guadalupe,-,-,-,-,-,-,-,-,-,-,-,-,,29.42,-97.97,29.42,-97.97,1,,12,Unmodified
19990101.48.3,Summary,1999-01-01,20:05:00,3,Texas,-,-,0,0,0,30,0.1,Gonzales,-,-,-,-,-,-,-,-,-,-,-,-,,29.4,-97.72,29.4,-97.72,1,,13,Unmodified
19990101.48.4,Summary,1999-01-01,21:45:00,3,Texas,-,-,0,0,0,30,0.1,Lavaca,-,-,-,-,-,-,-,-,-,-,-,-,,29.43,-97.08,29.43,-97.08,1,,14,Unmodified
19990101.48.5,Summary,1999-01-01,21:58:00,3,Texas,-,-,1,0,0,50,5.3,Panola,-,-,-,-,-,-,-,-,-,-,-,$0.01,,32.23,-94.23,32.25,-94.15,1,,34,Unmodified
