Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19570121.15.1,Summary,1957-01-21,13:20:00,3,Hawaii,-,-,1,0,0,10,2.5,Honolulu,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,21.52,-158.07,21.52,-158.07,1,,1,Unmodified
19570121.40.1,Summary,1957-01-21,18:55:00,3,Oklahoma,-,-,1,0,0,400,5.7,Muskogee,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.5,-95.3,35.57,-95.23,1,,2,Unmodified
19570122.40.2,Summary,1957-01-22,03:30:00,3,Oklahoma,-,-,2,0,0,440,63.7,Pottawatomie,Seminole,Hughes,Okfuskee,McIntosh,-,-,-,-,-,-,-,$5K-$50K,,35.07,-96.87,35.52,-95.92,1,,3,Unmodified
19570122.40.3,Summary,1957-01-22,06:00:00,3,Oklahoma,-,-,2,0,0,50,6.1,Haskell,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.25,-95.3,35.28,-95.2,1,,4,Unmodified
19570122.5.1,Summary,1957-01-22,06:45:00,3,Arkansas,-,-,2,0,0,10,7.4,Johnson,-,-,-,-,-,-,-,-,-,-,-,-,,35.55,-93.67,35.57,-93.53,1,,5,Unmodified
19570122.40.4,Summary,1957-01-22,06:45:00,3,Oklahoma,-,-,4,10,20,880,0.1,Sequoyah,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.4,-94.68,-,-,1,,6,Unmodified
19570122.5.2,Summary,1957-01-22,09:00:00,3,Arkansas,-,-,2,0,0,880,3.4,Hot Spring,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.32,-93.17,34.37,-93.17,1,,7,Unmodified
19570122.22.1,Summary,1957-01-22,10:50:00,3,Louisiana,-,-,3,3,9,167,1.7,Bossier,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,32.6,-93.5,-,-,1,,8,Unmodified
19570122.5.3,Summary,1957-01-22,11:30:00,3,Arkansas,-,-,2,0,0,10,0.1,Mississippi,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,35.8,-90.2,-,-,1,,9,Unmodified
19570122.29.1,Summary,1957-01-22,11:40:00,3,Missouri,-,-,1,0,1,100,1,Dunklin,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.23,-90.05,-,-,1,,10,Unmodified
19570122.5.4,Summary,1957-01-22,13:15:00,3,Arkansas,-,-,2,0,0,10,3.8,Ashley,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.13,-92.03,33.17,-91.98,1,,11,Unmodified
19570122.21.1,Summary,1957-01-22,15:30:00,3,Kentucky,-,-,1,0,0,880,1,Logan,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.92,-86.8,-,-,1,,12,Unmodified
19570122.47.1,Summary,1957-01-22,16:30:00,3,Tennessee,-,-,2,0,4,100,15,Davidson,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,36.1,-86.87,36.18,-86.62,1,,13,Unmodified
19570122.47.2,Summary,1957-01-22,17:00:00,3,Tennessee,-,-,2,0,0,13,0.4,Wilson,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.25,-86.35,-,-,1,,14,Unmodified
19570122.47.3,Summary,1957-01-22,18:30:00,3,Tennessee,-,-,1,0,0,10,0.1,Rutherford,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.7,-86.4,-,-,1,,15,Unmodified
19570122.47.4,Summary,1957-01-22,20:30:00,3,Tennessee,-,-,2,0,0,30,4.7,Coffee,Warren,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.57,-85.98,35.58,-85.9,1,,16,Unmodified
19570129.37.1,Summary,1957-01-29,16:15:00,3,North Carolina,-,-,1,0,0,150,0.6,Iredell,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.77,-80.93,-,-,1,,17,Unmodified
19570201.28.1,Summary,1957-02-01,07:00:00,3,Mississippi,-,-,2,0,0,100,1,Madison,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,32.78,-89.83,-,-,1,,18,Unmodified
19570201.28.2,Summary,1957-02-01,07:00:00,3,Mississippi,-,-,1,0,0,30,0.1,Montgomery,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.43,-89.7,-,-,1,,19,Unmodified
19570201.1.1,Summary,1957-02-01,20:00:00,3,Alabama,-,-,1,0,0,10,0.1,Houston,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,31.2,-85.4,-,-,1,,20,Unmodified
19570216.48.1,Summary,1957-02-16,13:30:00,3,Texas,-,-,0,0,0,200,1.5,Cameron,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,26.2,-97.78,-,-,1,,21,Unmodified
