Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19730118.40.1,Summary,1973-01-18,02:20:00,3,Oklahoma,-,-,2,0,4,30,5.1,Seminole,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,35.4,-96.67,35.45,-96.6,1,,1,Unmodified
19730118.5.1,Summary,1973-01-18,08:50:00,3,Arkansas,-,-,0,0,0,10,0.1,Boone,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,35.2,-93.18,-,-,1,,2,Unmodified
19730118.29.1,Summary,1973-01-18,13:55:00,3,Missouri,-,-,2,0,1,100,4.3,Ripley,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,36.68,-90.83,36.72,-90.77,1,,3,Unmodified
19730118.17.1,Summary,1973-01-18,14:15:00,3,Illinois,-,-,1,0,0,10,95.9,Alexander,Massac,-,-,-,-,-,-,-,-,-,-,<$50,,37.13,-89.42,37.97,-88.02,1,,4,Unmodified
19730118.22.1,Summary,1973-01-18,14:15:00,3,Louisiana,-,-,3,1,2,73,38,Caldwell,Richland,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.13,-92.3,32.4,-91.73,1,,5,Unmodified
19730118.29.2,Summary,1973-01-18,16:10:00,3,Missouri,-,-,1,0,1,100,4.7,Stoddard,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,36.88,-89.83,36.9,-89.75,1,,6,Unmodified
19730118.22.2,Summary,1973-01-18,17:00:00,3,Louisiana,-,-,2,0,4,100,0.2,Madison,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.42,-91.17,-,-,1,,7,Unmodified
19730118.12.1,Summary,1973-01-18,20:00:00,3,Florida,-,-,0,0,0,10,0.3,Escambia,-,-,-,-,-,-,-,-,-,-,-,<$50,,30.72,-87.3,-,-,1,,8,Unmodified
19730118.28.1,Summary,1973-01-18,20:00:00,3,Mississippi,-,-,2,0,8,400,7.6,Neshoba,Winston,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,32.92,-89.1,32.93,-88.98,1,,9,Unmodified
19730118.28.2,Summary,1973-01-18,20:30:00,3,Mississippi,-,-,2,0,0,67,2.7,Leake,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.8,-89.47,32.82,-89.43,1,,10,Unmodified
19730120.48.1,Summary,1973-01-20,14:10:00,3,Texas,-,-,1,0,0,200,14.5,Shelby,Panola,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,31.88,-94.38,32.07,-94.27,1,,11,Unmodified
19730120.48.2,Summary,1973-01-20,14:15:00,3,Texas,-,-,1,0,0,200,17.3,Shelby,Panola,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,31.88,-94.38,32.1,-94.23,1,,12,Unmodified
19730120.48.3,Summary,1973-01-20,14:30:00,3,Texas,-,-,1,0,0,200,0.3,Smith,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,32.57,-95.43,-,-,1,,13,Unmodified
19730120.48.4,Summary,1973-01-20,15:15:00,3,Texas,-,-,2,0,1,100,0.5,Smith,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.15,-95.28,-,-,1,,14,Unmodified
19730120.22.3,Summary,1973-01-20,17:45:00,3,Louisiana,-,-,2,0,0,100,7.7,Red River,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32,-93.45,32.08,-93.37,1,,15,Unmodified
19730120.48.5,Summary,1973-01-20,18:00:00,3,Texas,-,-,1,0,0,20,0.5,McCulloch,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,31.12,-99.43,-,-,1,,16,Unmodified
19730120.48.6,Summary,1973-01-20,18:15:00,3,Texas,-,-,1,0,0,440,4.3,San Saba,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,31.2,-98.78,31.23,-98.73,1,,17,Unmodified
19730120.48.7,Summary,1973-01-20,19:00:00,3,Texas,-,-,1,0,0,10,0.1,Gillespie,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,30.25,-98.83,-,-,1,,18,Unmodified
19730120.48.8,Summary,1973-01-20,19:30:00,3,Texas,-,-,1,0,0,10,0.1,Guadalupe,-,-,-,-,-,-,-,-,-,-,-,-,,29.6,-97.97,-,-,1,,19,Unmodified
19730120.48.9,Summary,1973-01-20,19:30:00,3,Texas,-,-,1,0,0,10,0.3,Camp,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,32.95,-95.05,-,-,1,,20,Unmodified
19730120.48.10,Summary,1973-01-20,21:00:00,3,Texas,-,-,1,0,0,10,0.3,Milam,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,30.57,-97.07,-,-,1,,21,Unmodified
19730120.48.11,Summary,1973-01-20,21:00:00,3,Texas,-,-,2,0,0,40,0.1,Travis,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,30.35,-97.92,-,-,1,,22,Unmodified
19730121.48.12,Summary,1973-01-21,00:15:00,3,Texas,-,-,2,0,3,200,8.7,Shelby,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,31.83,-94.13,31.88,-94,1,,23,Unmodified
19730121.48.13,Summary,1973-01-21,01:30:00,3,Texas,-,-,0,0,0,17,3,Orange,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,30.07,-94,30.1,-93.98,1,,24,Unmodified
19730121.12.2,Summary,1973-01-21,11:45:00,3,Florida,-,-,0,0,0,10,0.3,Escambia,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,30.47,-87.2,-,-,1,,25,Unmodified
19730122.12.3,Summary,1973-01-22,08:45:00,3,Florida,-,-,1,0,0,20,1.5,Polk,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,28.02,-81.97,-,-,1,,26,Unmodified
19730122.12.4,Summary,1973-01-22,08:56:00,3,Florida,-,-,1,0,8,30,0.3,Hillsborough,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,27.87,-82.17,-,-,1,,27,Unmodified
19730126.1.1,Summary,1973-01-26,15:45:00,3,Alabama,-,-,2,0,0,10,0.1,Marshall,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.33,-86.07,-,-,1,,28,Unmodified
19730128.12.5,Summary,1973-01-28,10:35:00,3,Florida,-,-,1,0,1,20,2,Pasco,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,28.33,-82.17,-,-,1,,29,Unmodified
19730128.12.6,Summary,1973-01-28,11:15:00,3,Florida,-,-,2,0,7,100,14,Osceola,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,28.27,-81.47,28.33,-81.25,1,,30,Unmodified
19730128.12.7,Summary,1973-01-28,11:42:00,3,Florida,-,-,2,0,16,300,2.7,Orange,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,28.52,-81.43,28.53,-81.42,1,,31,Unmodified
19730128.12.8,Summary,1973-01-28,12:30:00,3,Florida,-,-,2,0,0,50,5.1,Brevard,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,28.5,-80.8,28.5,-80.72,1,,32,Unmodified
19730131.48.14,Summary,1973-01-31,16:50:00,3,Texas,-,-,0,0,0,300,6.2,Kaufman,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,32.53,-96.2,32.6,-96.13,1,,33,Unmodified
19730202.13.1,Summary,1973-02-02,02:30:00,3,Georgia,-,-,1,0,0,50,1,Warren,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.45,-82.7,-,-,1,,34,Unmodified
19730202.13.2,Summary,1973-02-02,02:30:00,3,Georgia,-,-,1,0,0,50,1,McDuffie,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.5,-82.47,-,-,1,,35,Unmodified
19730202.34.1,Summary,1973-02-02,20:30:00,3,New Jersey,-,-,2,0,0,100,0.3,Hunterdon,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,40.6,-74.87,-,-,1,,36,Unmodified
19730202.34.2,Summary,1973-02-02,20:30:00,3,New Jersey,-,-,1,0,0,133,0.2,Hunterdon,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,40.58,-74.8,-,-,1,,37,Unmodified
19730202.34.3,Summary,1973-02-02,20:30:00,3,New Jersey,-,-,1,0,0,133,0.3,Hunterdon,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,40.67,-74.97,-,-,1,,38,Unmodified
19730208.13.3,Summary,1973-02-08,16:40:00,3,Georgia,-,-,0,0,0,20,0.1,Lee,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,31.65,-84.25,-,-,1,,39,Unmodified
19730208.13.4,Summary,1973-02-08,17:30:00,3,Georgia,-,-,2,0,5,500,2,Worth,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,31.58,-83.93,-,-,1,,40,Unmodified
19730209.12.9,Summary,1973-02-09,22:28:00,3,Florida,-,-,2,0,1,30,2,Martin,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,27.13,-80.2,-,-,1,,41,Unmodified
19730213.48.15,Summary,1973-02-13,13:00:00,3,Texas,-,-,2,0,1,30,3.3,Harris,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,29.97,-95.72,29.98,-95.67,1,,42,Unmodified
19730213.28.3,Summary,1973-02-13,23:59:00,3,Mississippi,-,-,1,0,1,40,1.3,Jackson,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,30.43,-88.83,-,-,1,,43,Unmodified
19730301.48.16,Summary,1973-03-01,14:50:00,3,Texas,-,-,2,0,0,50,8,McLennan,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,31.62,-97.2,31.62,-97.07,1,,44,Unmodified
19730303.48.17,Summary,1973-03-03,18:00:00,3,Texas,-,-,0,0,0,10,0.1,Wichita,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,33.92,-98.52,-,-,1,,45,Unmodified
19730306.48.18,Summary,1973-03-06,06:25:00,3,Texas,-,-,2,0,0,30,1.5,Tarrant,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.82,-97.18,-,-,1,,46,Unmodified
19730306.48.19,Summary,1973-03-06,08:05:00,3,Texas,-,-,1,0,0,50,0.1,Travis,-,-,-,-,-,-,-,-,-,-,-,-,,30.3,-97.6,-,-,1,,47,Unmodified
19730308.12.10,Summary,1973-03-08,17:20:00,3,Florida,-,-,1,0,0,20,0.3,Highlands,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,27.32,-81.38,-,-,1,,48,Unmodified
19730308.20.1,Summary,1973-03-08,19:50:00,3,Kansas,-,-,2,0,1,440,23.5,Neosho,Crawford,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,37.43,-95.4,37.6,-95.03,1,,49,Unmodified
19730308.12.11,Summary,1973-03-08,23:20:00,3,Florida,-,-,2,0,6,100,1.5,Marion,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,29.07,-82.1,-,-,1,,50,Unmodified
19730309.48.20,Summary,1973-03-09,19:59:00,3,Texas,-,-,0,0,0,10,1.5,Ellis,-,-,-,-,-,-,-,-,-,-,-,-,,32.33,-96.5,-,-,1,,51,Unmodified
19730310.48.21,Summary,1973-03-10,01:40:00,3,Texas,-,-,2,1,7,70,0.3,Tom Green,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,31.58,-100.25,-,-,1,,52,Unmodified
19730310.48.22,Summary,1973-03-10,03:00:00,3,Texas,-,-,2,0,1,10,0.1,Taylor,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.33,-99.75,-,-,1,,53,Unmodified
19730310.48.23,Summary,1973-03-10,04:10:00,3,Texas,-,-,3,0,40,250,7.8,Burnet,-,-,-,-,-,-,-,-,-,-,-,-,,30.73,-98.23,30.82,-98.15,1,,54,Unmodified
19730310.48.24,Summary,1973-03-10,05:45:00,3,Texas,-,-,1,0,2,10,0.3,Travis,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,30.3,-97.7,-,-,1,,55,Unmodified
19730310.48.25,Summary,1973-03-10,06:02:00,3,Texas,-,-,4,6,77,150,23.3,McLennan,Limestone,Hill,-,-,-,-,-,-,-,-,-,-,,31.53,-96.83,31.85,-96.8,1,,56,Unmodified
19730310.48.26,Summary,1973-03-10,07:00:00,3,Texas,-,-,1,0,0,10,0.1,Lee,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,30.28,-96.88,-,-,1,,57,Unmodified
19730310.48.27,Summary,1973-03-10,07:00:00,3,Texas,-,-,3,0,3,100,6.8,Grayson,-,-,-,-,-,-,-,-,-,-,-,-,,33.77,-96.85,33.77,-96.73,1,,58,Unmodified
19730310.48.28,Summary,1973-03-10,08:00:00,3,Texas,-,-,2,0,1,100,1.5,Lamar,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.57,-95.4,-,-,1,,59,Unmodified
19730310.48.29,Summary,1973-03-10,08:00:00,3,Texas,-,-,1,0,0,50,0.3,Rains,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,32.87,-95.95,-,-,1,,60,Unmodified
19730310.48.30,Summary,1973-03-10,08:45:00,3,Texas,-,-,2,0,0,150,0.5,Hopkins,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.17,-95.63,-,-,1,,61,Unmodified
19730310.48.31,Summary,1973-03-10,10:00:00,3,Texas,-,-,1,0,0,20,0.1,Rusk,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,32.13,-94.95,-,-,1,,62,Unmodified
19730310.5.2,Summary,1973-03-10,15:30:00,3,Arkansas,-,-,2,0,0,67,11.5,Drew,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,33.62,-91.92,33.78,-91.92,1,,63,Unmodified
19730310.28.4,Summary,1973-03-10,22:00:00,3,Mississippi,-,-,2,0,0,220,19.9,Grenada,Yalobusha,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,33.72,-89.78,33.98,-89.65,1,,64,Unmodified
19730311.28.5,Summary,1973-03-11,01:25:00,3,Mississippi,-,-,2,0,1,250,12.9,Simpson,Rankin,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,31.9,-89.8,32.07,-89.75,1,,65,Unmodified
19730311.55.1,Summary,1973-03-11,08:05:00,3,Wisconsin,-,-,1,0,0,50,0.5,Dane,-,-,-,-,-,-,-,-,-,-,-,-,,42.95,-89.22,-,-,1,,66,Unmodified
19730311.55.2,Summary,1973-03-11,10:30:00,3,Wisconsin,-,-,1,0,0,50,2,Fond du Lac,Calumet,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,43.92,-88.27,-,-,1,,67,Unmodified
19730313.48.32,Summary,1973-03-13,09:00:00,3,Texas,-,-,1,0,0,10,9.8,Mitchell,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.37,-100.87,32.45,-100.73,1,,68,Unmodified
19730313.40.2,Summary,1973-03-13,11:53:00,3,Oklahoma,-,-,2,0,0,100,4.5,Greer,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.95,-99.4,34.98,-99.33,1,,69,Unmodified
19730313.40.3,Summary,1973-03-13,12:27:00,3,Oklahoma,-,-,2,0,5,10,0.1,Comanche,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.5,-98.43,-,-,1,,70,Unmodified
19730313.40.4,Summary,1973-03-13,12:35:00,3,Oklahoma,-,-,1,0,0,33,6.6,Cotton,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.3,-98.25,34.3,-98.13,1,,71,Unmodified
19730313.40.5,Summary,1973-03-13,12:50:00,3,Oklahoma,-,-,0,0,0,33,0.5,Jefferson,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.15,-98,-,-,1,,72,Unmodified
19730313.20.2,Summary,1973-03-13,13:20:00,3,Kansas,-,-,2,0,0,40,2.3,Comanche,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,37.35,-99.33,37.38,-99.3,1,,73,Unmodified
19730313.40.6,Summary,1973-03-13,15:08:00,3,Oklahoma,Kansas,-,2,0,1,250,51.6,Kay,Cowley,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,36.8,-97.13,37.45,-96.67,2,,74,Unmodified
19730313.40.6,State,1973-03-13,15:08:00,3,Oklahoma,,,2,0,1,250,16.5,Kay,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,36.8,-97.13,37,-96.97,2,,74,Unmodified
19730313.40.6,State,1973-03-13,15:30:00,3,Kansas,,,2,0,0,50,35.1,Cowley,-,-,-,-,-,-,-,-,-,-,-,$500K-$5M,,37,-96.97,37.45,-96.67,2,,74,Unmodified
19730313.20.3,Summary,1973-03-13,15:12:00,3,Kansas,-,-,1,0,0,10,0.1,Sherman,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,39.33,-101.7,-,-,1,,75,Unmodified
19730313.20.5,Summary,1973-03-13,17:00:00,3,Kansas,-,-,2,0,0,220,10.2,Lyon,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,38.23,-96.12,38.38,-96.1,1,,76,Unmodified
19730313.20.6,Summary,1973-03-13,17:10:00,3,Kansas,-,-,2,0,0,50,1,Rooks,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,39.23,-99.28,-,-,1,,77,Unmodified
19730313.20.7,Summary,1973-03-13,18:00:00,3,Kansas,-,-,2,0,0,220,17.2,Smith,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,39.58,-98.58,39.83,-98.55,1,,78,Unmodified
19730313.20.8,Summary,1973-03-13,18:20:00,3,Kansas,-,-,0,0,0,33,4.6,Johnson,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,38.88,-94.82,38.95,-94.82,1,,79,Unmodified
