Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19610119.13.1,Summary,1961-01-19,14:15:00,3,Georgia,-,-,1,0,0,100,1.5,Bleckley,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,32.3,-83.35,-,-,1,,1,Unmodified
19610205.48.1,Summary,1961-02-05,09:40:00,3,Texas,-,-,0,0,0,20,0.3,Nueces,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,27.67,-97.28,-,-,1,,2,Unmodified
19610217.20.1,Summary,1961-02-17,15:00:00,3,Kansas,-,-,0,0,0,10,0.1,Chase,-,-,-,-,-,-,-,-,-,-,-,-,,38.3,-96.78,-,-,1,,3,Unmodified
19610217.40.1,Summary,1961-02-17,16:30:00,3,Oklahoma,-,-,1,0,0,17,0.5,McClain,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,34.88,-97.5,-,-,1,,4,Unmodified
19610217.40.2,Summary,1961-02-17,16:45:00,3,Oklahoma,-,-,3,0,7,300,16.8,Oklahoma,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.52,-97.38,35.68,-97.17,1,,5,Unmodified
19610217.40.3,Summary,1961-02-17,18:15:00,3,Oklahoma,-,-,3,0,11,300,73,Garvin,Pontotoc,Seminole,Hughes,-,-,-,-,-,-,-,-,$500K-$5M,,34.8,-96.95,35.48,-95.97,1,,6,Unmodified
19610217.40.4,Summary,1961-02-17,19:00:00,3,Oklahoma,-,-,2,0,1,10,6.6,Pottawatomie,Okfuskee,Okmulgee,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.33,-97.1,35.38,-97,1,,7,Unmodified
19610217.20.2,Summary,1961-02-17,23:00:00,3,Kansas,-,-,2,0,0,880,7.3,Cherokee,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,37.15,-94.72,37.23,-94.63,1,,8,Unmodified
19610218.39.1,Summary,1961-02-18,19:45:00,3,Ohio,-,-,2,0,0,440,1.5,Seneca,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,41.1,-83.2,-,-,1,,9,Unmodified
19610220.28.1,Summary,1961-02-20,17:10:00,3,Mississippi,-,-,2,0,8,73,17,Marion,Jefferson Davis,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,31.33,-89.83,31.53,-89.7,1,,10,Unmodified
