Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19530107.5.1,Summary,1953-01-07,20:15:00,3,Arkansas,-,-,2,0,2,100,4.5,Cleveland,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.83,-92.17,33.87,-92.1,1,,1,Unmodified
19530108.1.1,Summary,1953-01-08,06:30:00,3,Alabama,-,-,1,0,0,167,0.5,Dallas,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,32.62,-86.98,-,-,1,,2,Unmodified
19530108.1.2,Summary,1953-01-08,07:10:00,3,Alabama,-,-,2,0,0,867,3,Talladega,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.42,-86.12,33.45,-86.08,1,,3,Unmodified
19530108.45.1,Summary,1953-01-08,16:15:00,3,South Carolina,-,-,2,0,2,150,9.6,Florence,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,34.02,-79.77,34.12,-79.65,1,,4,Unmodified
19530109.12.1,Summary,1953-01-09,02:30:00,3,Florida,-,-,1,0,0,10,0.5,Hernando,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,28.57,-82.48,-,-,1,,5,Unmodified
19530109.12.2,Summary,1953-01-09,06:00:00,3,Florida,-,-,2,0,12,100,9.2,Hillsborough,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,27.83,-82.17,27.95,-82.1,1,,6,Unmodified
19530109.12.3,Summary,1953-01-09,06:15:00,3,Florida,-,-,1,0,0,10,0.1,Lake,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,28.57,-81.75,-,-,1,,7,Unmodified
19530120.1.3,Summary,1953-01-20,15:00:00,3,Alabama,-,-,3,0,0,50,1.5,Walker,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.8,-87.23,-,-,1,,8,Unmodified
19530120.1.4,Summary,1953-01-20,16:30:00,3,Alabama,-,-,1,0,1,10,0.1,Blount,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,34.1,-86.5,-,-,1,,9,Unmodified
19530120.47.1,Summary,1953-01-20,17:41:00,3,Tennessee,-,-,2,0,0,500,0.5,Warren,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,35.7,-85.85,-,-,1,,10,Unmodified
