Index,Segment,Date,Time,TimeZone,State1,State2,State3,Fujita,Fatalities,Injuries,Width,Length,County1,County2,County3,County4,County5,County6,County7,County8,County9,County10,County11,County12,Damage,CropLoss,TouchdownLat,TouchdownLon,LiftoffLat,LiftoffLon,NumberOfStates,StateTor,TorNum,RecordStatus
19580102.12.1,Summary,1958-01-02,02:00:00,3,Florida,-,-,1,0,1,10,0.1,Pasco,-,-,-,-,-,-,-,-,-,-,-,$50-$500,,28.25,-82.73,-,-,1,,1,Unmodified
19580110.6.1,Summary,1958-01-10,04:45:00,3,California,-,-,0,0,0,60,0.8,Del Norte,-,-,-,-,-,-,-,-,-,-,-,-,,41.75,-124.2,-,-,1,,2,Unmodified
19580114.48.1,Summary,1958-01-14,15:45:00,3,Texas,-,-,2,0,0,33,0.3,Hunt,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,33.13,-96.1,-,-,1,,3,Unmodified
19580114.48.2,Summary,1958-01-14,17:30:00,3,Texas,-,-,1,0,0,300,3.8,Van Zandt,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,32.7,-95.97,32.73,-95.92,1,,4,Unmodified
19580121.12.2,Summary,1958-01-21,10:20:00,3,Florida,-,-,0,0,0,100,2,Hillsborough,-,-,-,-,-,-,-,-,-,-,-,<$50,,28.08,-82.17,-,-,1,,5,Unmodified
19580121.12.3,Summary,1958-01-21,11:30:00,3,Florida,-,-,1,0,0,17,0.2,Polk,-,-,-,-,-,-,-,-,-,-,-,<$50,,28,-81.7,-,-,1,,6,Unmodified
19580121.12.4,Summary,1958-01-21,12:40:00,3,Florida,-,-,1,0,0,10,0.1,Brevard,-,-,-,-,-,-,-,-,-,-,-,<$50,,28.25,-80.67,-,-,1,,7,Unmodified
19580124.13.1,Summary,1958-01-24,13:50:00,3,Georgia,-,-,2,0,16,200,1.5,Bleckley,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,32.38,-83.37,-,-,1,,8,Unmodified
19580126.12.5,Summary,1958-01-26,10:50:00,3,Florida,-,-,2,0,0,10,0.1,DeSoto,-,-,-,-,-,-,-,-,-,-,-,<$50,,27.22,-81.87,-,-,1,,9,Unmodified
19580131.1.1,Summary,1958-01-31,13:30:00,3,Alabama,-,-,2,0,0,440,3,Franklin,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.48,-87.87,-,-,1,,10,Unmodified
19580131.13.2,Summary,1958-01-31,22:15:00,3,Georgia,-,-,2,0,0,33,0.3,Bibb,-,-,-,-,-,-,-,-,-,-,-,$50K-$500K,,32.82,-83.65,-,-,1,,11,Unmodified
19580203.6.3,Summary,1958-02-03,12:00:00,3,California,-,-,0,0,0,10,0.1,Mendocino,-,-,-,-,-,-,-,-,-,-,-,-,,38.75,-123.53,-,-,1,,12,Unmodified
19580206.1.2,Summary,1958-02-06,14:05:00,3,Alabama,-,-,2,0,0,200,11.3,Pike,-,-,-,-,-,-,-,-,-,-,-,$5K-$50K,,31.72,-86.12,31.83,-85.98,1,,13,Unmodified
19580206.47.1,Summary,1958-02-06,16:30:00,3,Tennessee,-,-,1,0,0,67,1,Lawrence,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.25,-87.33,-,-,1,,14,Unmodified
19580226.40.1,Summary,1958-02-26,14:00:00,3,Oklahoma,-,-,0,0,0,10,0.1,Pittsburg,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,34.83,-95.75,-,-,1,,15,Unmodified
19580226.40.2,Summary,1958-02-26,15:30:00,3,Oklahoma,-,-,0,0,0,20,0.1,Sequoyah,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,35.38,-94.45,-,-,1,,16,Unmodified
19580226.22.1,Summary,1958-02-26,17:15:00,3,Louisiana,-,-,2,0,2,50,0.3,Caddo,-,-,-,-,-,-,-,-,-,-,-,$500-$5000,,32.87,-93.88,-,-,1,,17,Unmodified
19580226.28.1,Summary,1958-02-26,17:30:00,3,Mississippi,-,-,3,8,26,60,69.7,Copiah,Hinds,Rankin,Madison,-,-,-,-,-,-,-,-,$50K-$500K,,31.98,-90.53,32.72,-89.72,1,,18,Unmodified
